3,1,9-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
125.7366,2.341624,1.189812,1.477937,0.3688454,0.05698419,0.1012798,0.9221976,0.96175,-0.01886441,0.6553583,0.01637682,0.754905,0,0,0,0,83.92286,0,1,-0.002785447,-0.000571491,0.003148758,-6.382507E-10,7.119248E-09,1.067277E-09,1,1,0,0,0,1,1,1,0,0,0,-9.28909E-10,8.432475E-09,7.255418E-10,1,1,0,0,0,1,2,1,0,0,0,-6.289997E-10,1.098689E-08,2.153886E-10,1,0.9821517,0,0,0,1
125.786,2.342889,1.189844,1.479198,0.3688455,0.05698418,0.1012799,0.9221975,0.9456299,-0.01918825,0.6562973,0.01670023,0.7540735,0,0,0,0,80.66255,0,1,0,0,0,-1.654204E-10,-3.89882E-09,-3.265138E-10,1,1,0,0,0,1,1,1,0,0,0,1.234939E-10,-7.555536E-09,-8.624981E-10,1,1,0,0,0,1,2,1,0,0,0,-1.654204E-10,-3.89882E-09,-3.265138E-10,1,0.9832388,0,0,0,1
125.836,2.343101,1.189849,1.479409,0.3688456,0.0569842,0.1012798,0.9221975,0.9399253,-0.01943754,0.6570144,0.01694999,0.7534368,0,0,0,0,82.45672,0,1,0,0,0,-4.048667E-11,8.951142E-09,-4.575188E-09,1,1,0,0,0,1,1,1,0,0,0,-4.553989E-11,8.117883E-09,-4.129303E-09,1,1,0,0,0,1,2,1,0,0,0,1.926667E-10,7.860594E-09,-5.292914E-09,1,0.9939674,0,0,0,1
125.8856,2.343137,1.18985,1.479445,0.3688456,0.05698424,0.1012798,0.9221975,0.9399253,-0.01963217,0.6575651,0.01714521,0.7529467,0,0,0,0,84.65457,0,1,0,0,0,9.334001E-11,9.536565E-09,2.998942E-09,1,1,0,0,0,1,1,1,0,0,0,6.349719E-11,7.469749E-09,2.244015E-09,1,1,0,0,0,1,2,1,0,0,0,-1.145564E-10,9.489789E-09,3.108164E-09,1,1,0,0,0,1
125.9361,2.343142,1.18985,1.479451,0.3688456,0.05698423,0.1012798,0.9221975,0.9399253,-0.01978552,0.6579878,0.0172989,0.7525699,0,0,0,0,89.22371,0,1,0,0,0,5.202849E-10,-1.075678E-08,2.031628E-09,1,1,0,0,0,1,1,1,0,0,0,4.144192E-10,-1.419562E-08,3.430536E-14,1,1,0,0,0,1,2,1,0,0,0,5.398953E-10,-1.563554E-08,-7.993967E-10,1,1,0,0,0,1
125.9859,2.362862,1.192111,1.487,0.3688456,0.05698423,0.1012798,0.9221975,0.9399253,-0.01991548,0.658266,0.01742567,0.7523201,0,0,0,0,86.86986,0,1,0.04220545,0.005004343,0.01363128,7.355992E-11,1.008139E-09,-3.078998E-09,1,1,0,0,0,1,1,1,0,0,0,-2.343968E-10,5.080324E-10,-3.039371E-09,1,1,0,0,0,1,2,1,0,0,0,-2.045329E-10,3.90921E-09,-3.973257E-09,1,1,0,0,0,1
126.0357,2.416128,1.197452,1.503508,0.3688456,0.05698415,0.1012798,0.9221975,0.9399253,-0.02006436,0.6583556,0.01756033,0.7522346,0,0,0,0,72.45261,0,1,0.06002318,0.006139055,0.01997779,2.154791E-10,-3.030044E-08,9.859692E-11,1,1,0,0,0,1,1,1,0,0,0,3.367369E-10,-2.710362E-08,5.5633E-10,1,1,0,0,0,1,2,1,-0.003450399,-0.002384318,0.001507893,2.154791E-10,-3.030044E-08,9.859692E-11,1,1,0,0,0,1
126.0863,2.517977,1.200504,1.556301,0.3688456,0.05698417,0.1012798,0.9221975,0.9399253,-0.02015886,0.6579439,0.01762365,0.7525908,0,0,0,0,61.80321,0,1,0.1233121,0.009997328,0.05850995,9.148684E-12,1.017003E-09,-3.648579E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.05057E-10,-2.959084E-09,-1.934658E-09,0.9999999,1,0,0,0,1,2,1,-0.01087676,-0.006204444,0.00127681,-3.530411E-10,-6.406182E-09,-1.47315E-09,0.9999999,1,0,0,0,1
126.1367,2.65915,1.211786,1.611625,0.3688456,0.05698428,0.1012798,0.9221975,0.8991855,-0.02026867,0.6570158,0.01767572,0.753397,0,0,0,0,58.81755,0,1,0.1557917,0.01364786,0.05594495,-1.801255E-09,3.840785E-08,-6.253258E-09,1,1,0,0,0,1,1,1,0,0,0,-2.92696E-10,4.093579E-08,-3.296763E-09,1,1,0,0,0,1,2,1,0,0,0,-1.480063E-09,5.274529E-08,-5.077573E-09,1,0.9566563,0,0,0,1
126.1867,2.729959,1.216882,1.642915,0.3688456,0.05698429,0.1012798,0.9221975,0.8613224,-0.02039746,0.6558794,0.01773409,0.7543817,0,0,0,0,54.58317,0,1,0.03909819,0.001900704,0.02374042,-1.647538E-10,-1.015747E-09,-2.618184E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,3.714934E-10,-2.224645E-08,1.362523E-09,1,0.9578918,0,0,0,1
