1,3,21-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
100.5963,0.4499584,0.3491559,-0.0241976,0.006244685,0.003488054,-0.01327068,0.9998864,1.058049,-0.08546446,0.5828584,0.06182673,0.805698,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,4.448482E-09,2.926606E-10,2.213278E-09,1,1,0,0,0,1
100.6458,0.4499584,0.3491559,-0.0241976,0.006244688,0.003488035,-0.0132707,0.9998864,1.058049,-0.08544932,0.5828701,0.0618175,0.8056919,0,0,0,0,253.6249,293.8475,751.2546,0,1,0,0,0,7.685233E-10,-2.110721E-08,-1.230095E-08,0.9999999,1,0,0,0,1
100.6962,0.4499584,0.3491559,-0.0241976,0.00624469,0.003488051,-0.01327068,0.9998864,1.058049,-0.08544038,0.5828771,0.06181206,0.8056882,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,4.685127E-10,1.552156E-08,3.069082E-08,1,1,0,0,0,1
100.7466,0.4499584,0.3491559,-0.0241976,0.006244692,0.003488058,-0.0132707,0.9998864,1.058049,-0.08543509,0.5828812,0.06180883,0.8056861,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,1.49347E-10,5.462394E-09,-1.227888E-08,1,1,0,0,0,1
100.796,0.4499584,0.3491559,-0.0241976,0.006244703,0.00348804,-0.01327068,0.9998864,1.058049,-0.08543199,0.5828836,0.06180694,0.8056848,0,0,0,0,239.7908,277.8194,710.277,0,1,0,0,0,8.741008E-09,-2.10083E-08,2.461419E-08,1,1,0,0,0,1
100.8464,0.4499584,0.3491559,-0.0241976,0.006244698,0.003488057,-0.01327066,0.9998864,1.058049,-0.08543015,0.5828851,0.06180581,0.805684,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,-7.165571E-09,1.521168E-08,1.984085E-08,1,1,0,0,0,1
100.8959,0.4499584,0.3491559,-0.0241976,0.006244711,0.003488061,-0.01327068,0.9998864,1.058049,-0.08542906,0.5828859,0.06180515,0.8056836,0,0,0,0,253.6249,293.8475,751.2546,0,1,0,0,0,1.12784E-08,1.561412E-09,-1.379952E-08,0.9999999,1,0,0,0,1
100.9463,0.4499584,0.3491559,-0.0241976,0.00624471,0.003488076,-0.01327067,0.9998864,1.058049,-0.08542842,0.5828864,0.06180476,0.8056833,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,-2.495164E-09,1.383839E-08,2.085086E-08,1,1,0,0,0,1
100.9967,0.4499584,0.3491559,-0.0241976,0.006244713,0.003488109,-0.01327066,0.9998864,1.058049,-0.08542804,0.5828867,0.06180453,0.8056831,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,1.736714E-09,3.082017E-08,1.469164E-08,1,1,0,0,0,1
101.0462,0.4499584,0.3491559,-0.0241976,0.006244712,0.00348816,-0.01327065,0.9998864,1.058049,-0.08542783,0.5828869,0.0618044,0.8056831,0,0,0,0,253.6249,293.8475,751.2546,0,1,0,0,0,-4.142056E-09,5.006477E-08,1.608691E-08,1,1,0,0,0,1
101.0966,0.4499584,0.3491559,-0.0241976,0.006244701,0.003488173,-0.0132707,0.9998864,1.058049,-0.08542771,0.582887,0.06180432,0.805683,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,-1.378119E-08,1.233756E-08,-3.477968E-08,1,1,0,0,0,1
101.1463,0.4499584,0.3491559,-0.0241976,0.006244703,0.003488213,-0.01327071,0.9998864,1.058049,-0.08542763,0.582887,0.06180428,0.805683,0,0,0,0,221.3454,256.4488,655.6403,0,1,0,0,0,5.068059E-10,3.738397E-08,-4.132384E-09,1,1,0,0,0,1
101.1967,0.4499584,0.3491559,-0.0241976,0.006244711,0.003488188,-0.01327072,0.9998864,1.058049,-0.0854276,0.5828871,0.06180425,0.805683,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,6.408744E-09,-2.745823E-08,-6.374052E-09,1,1,0,0,0,1
101.2462,0.4499584,0.3491559,-0.0241976,0.00624472,0.003488139,-0.01327075,0.9998864,1.058049,-0.08542757,0.5828871,0.06180423,0.805683,0,0,0,0,253.6249,293.8475,751.2546,0,1,0,0,0,8.426113E-09,-5.113977E-08,-2.612082E-08,1,1,0,0,0,1
101.2966,0.4499584,0.3491559,-0.0241976,0.006244703,0.003488096,-0.01327072,0.9998864,1.058049,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,-1.927557E-08,-4.52069E-08,3.800081E-08,1,1,0,0,0,1
101.3461,0.4499584,0.3491559,-0.0241976,0.006244691,0.003488056,-0.01327069,0.9998864,1.058049,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,253.6249,293.8475,751.2546,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
101.3966,0.4499584,0.3491559,-0.0241976,0.006244679,0.003488016,-0.01327066,0.9998864,1.058049,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,258.2363,299.1902,764.9138,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
101.4461,0.4499584,0.3491559,-0.0241976,0.006244668,0.003487977,-0.01327063,0.9998864,1.047676,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,253.6249,293.8475,751.2546,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9901953,0,0,0,1
101.4965,0.4499584,0.3491559,-0.0241976,0.006244656,0.003487932,-0.0132706,0.9998864,1.006403,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,257.3094,298.2949,764.1954,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,0.9606058,0,0,0,1
101.546,0.4499584,0.3491559,-0.0241976,0.006244646,0.003487892,-0.01327057,0.9998864,0.9707192,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,250.9316,291.2469,749.1677,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.964543,0,0,0,1
101.5964,0.4499584,0.3491559,-0.0241976,0.006244637,0.003487853,-0.01327054,0.9998864,0.9371741,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,253.9787,295.0799,761.6161,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.965443,0,0,0,1
101.6459,0.4499584,0.3491559,-0.0241976,0.006244627,0.003487813,-0.01327052,0.9998864,0.9088374,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,247.8954,288.3169,746.8184,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9697636,0,0,0,1
101.6959,0.4499584,0.3491559,-0.0241976,0.006244617,0.003487773,-0.01327049,0.9998864,0.8814704,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,219.7991,255.848,664.5331,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9698879,0,0,0,1
101.7465,0.4499584,0.3491559,-0.0241976,0.006244607,0.003487733,-0.01327046,0.9998864,0.8554229,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,249.8659,291.1121,758.4356,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9704499,0,0,0,1
101.796,0.4499584,0.3491559,-0.0241976,0.006244596,0.003487689,-0.01327042,0.9998864,0.8262244,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,244.2971,284.8465,744.0374,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,0.9658667,0,0,0,1
101.8464,0.4499584,0.3491559,-0.0241976,0.006244586,0.003487649,-0.0132704,0.9998864,0.7975311,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,247.4162,288.7501,756.5431,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9652717,0,0,0,1
101.8959,0.4499584,0.3491559,-0.0241976,0.006244576,0.003487609,-0.01327037,0.9998864,0.780173,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,241.9394,282.5733,742.2162,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9782352,0,0,0,1
101.9463,0.4499584,0.3491559,-0.0241976,0.006244566,0.00348757,-0.01327034,0.9998864,0.7597764,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,245.4939,286.8973,755.0594,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9738563,0,0,0,1
101.9958,0.4499584,0.3491559,-0.0241976,0.006244557,0.00348753,-0.01327031,0.9998864,0.7389082,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,240.0978,280.799,740.7946,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9725339,0,0,0,1
102.0462,0.4499584,0.3491559,-0.0241976,0.006244547,0.00348749,-0.01327028,0.9998864,0.7276288,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,243.7356,285.2033,753.7021,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.984735,0,0,0,1
102.0966,0.4499584,0.3491559,-0.0241976,0.006244535,0.003487446,-0.01327025,0.9998864,0.7173148,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,243.2941,284.7781,753.3613,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,0.9858253,0,0,0,1
102.1461,0.4499584,0.3491559,-0.0241976,0.006244525,0.003487406,-0.01327022,0.9998864,0.7032685,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,238.3765,279.1407,739.466,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9804182,0,0,0,1
102.1965,0.4499584,0.3491559,-0.0241976,0.006244516,0.003487366,-0.01327019,0.9998864,0.6989251,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.2464,283.7688,752.5532,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,0.9938239,0,0,0,1
102.2461,0.4499584,0.3491559,-0.0241976,0.006244502,0.003487324,-0.01327015,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8575,278.6408,739.0661,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1.00081,0,0,0,1
102.2965,0.4499584,0.3491559,-0.0241976,0.006244486,0.003487278,-0.01327011,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7136,752.5092,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
102.346,0.4499584,0.3491559,-0.0241976,0.006244471,0.003487235,-0.01327007,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8642,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.3966,0.4499584,0.3491559,-0.0241976,0.006244457,0.003487193,-0.01327004,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.4461,0.4499584,0.3491559,-0.0241976,0.006244442,0.003487151,-0.01327,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.4965,0.4499584,0.3491559,-0.0241976,0.006244426,0.003487104,-0.01326996,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
102.546,0.4499584,0.3491559,-0.0241976,0.006244412,0.003487062,-0.01326992,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.5958,0.4499584,0.3491559,-0.0241976,0.006244397,0.00348702,-0.01326988,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,224.8897,263.4484,698.7584,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.6462,0.4499584,0.3491559,-0.0241976,0.006244381,0.003486974,-0.01326984,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
102.696,0.4499584,0.3491559,-0.0241976,0.006244367,0.003486932,-0.0132698,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,216.2401,253.3158,671.8831,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.7465,0.4499584,0.3491559,-0.0241976,0.006244352,0.00348689,-0.01326976,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.7959,0.4499584,0.3491559,-0.0241976,0.006244336,0.003486844,-0.01326972,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
102.8463,0.4499584,0.3491559,-0.0241976,0.006244321,0.003486802,-0.01326968,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.8958,0.4499584,0.3491559,-0.0241976,0.006244307,0.00348676,-0.01326964,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
102.9462,0.4499584,0.3491559,-0.0241976,0.006244291,0.003486713,-0.0132696,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
102.9966,0.4499584,0.3491559,-0.0241976,0.006244276,0.003486671,-0.01326956,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.0461,0.4499584,0.3491559,-0.0241976,0.006244262,0.003486629,-0.01326952,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.0965,0.4499584,0.3491559,-0.0241976,0.006244247,0.003486587,-0.01326949,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.146,0.4499584,0.3491559,-0.0241976,0.006244231,0.003486541,-0.01326944,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
103.1964,0.4499584,0.3491559,-0.0241976,0.006244217,0.003486499,-0.01326941,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7137,752.5092,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.246,0.4499584,0.3491559,-0.0241976,0.006244202,0.003486457,-0.01326937,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.2958,0.4499584,0.3491559,-0.0241976,0.006244188,0.003486415,-0.01326933,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,224.8897,263.4484,698.7584,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.3462,0.4499584,0.3491559,-0.0241976,0.006244173,0.003486373,-0.01326929,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7136,752.5092,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.3966,0.4499584,0.3491559,-0.0241976,0.006244157,0.003486327,-0.01326925,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7136,752.5092,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
103.4461,0.4499584,0.3491559,-0.0241976,0.006244143,0.003486285,-0.01326921,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,237.8641,278.6473,739.0715,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.4959,0.4499584,0.3491559,-0.0241976,0.006244128,0.003486243,-0.01326917,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,224.8897,263.4484,698.7584,0,1,0,0,0,-1.331753E-08,-4.21299E-08,3.60014E-08,1,1,0,0,0,1
103.5463,0.4499584,0.3491559,-0.0241976,0.006244112,0.003486196,-0.01326913,0.9998864,0.699491,-0.08542756,0.5828871,0.06180423,0.805683,0,0,0,0,242.1889,283.7136,752.5092,0,1,0,0,0,-1.479726E-08,-4.681101E-08,4.000155E-08,1,1,0,0,0,1
