Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
857.5638,3.617196,2.139212,0.2593072,-0.302958,-0.0159022,0.07636274,0.9498065,0.3505427,0.02952687,0.9024419,-0.06266684,0.4252055,1,0,0,0,158.8065,149.8725,101.6824,58.18842,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,4.388313E-09,-9.333139E-08,3.348735E-09,1,1,0,0,0,1
857.6134,3.617196,2.139212,0.2593072,-0.3029581,-0.01590221,0.07636277,0.9498065,0.3505427,0.02952876,0.9024436,-0.06267162,0.4252011,1,0,0,0,155.9707,147.1962,99.86668,57.14938,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,-4.251431E-09,3.785537E-09,9.404084E-09,1,1,0,0,0,1
857.6638,3.617196,2.139212,0.2593072,-0.3029582,-0.01590225,0.07636277,0.9498065,0.3505427,0.02953019,0.902445,-0.06267527,0.4251976,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-3.637221E-09,-3.741474E-08,-7.527442E-09,1,1,0,0,0,1
857.7133,3.617196,2.139212,0.2593072,-0.3029582,-0.01590225,0.07636278,0.9498064,0.3505427,0.0295313,0.902446,-0.06267811,0.4251949,1,0,0,0,155.9707,147.1962,99.86668,57.14943,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,-1.907814E-08,5.899875E-09,-4.484776E-10,1,1,0,0,0,1
857.7637,3.617196,2.139212,0.2593072,-0.3029582,-0.01590222,0.07636282,0.9498064,0.3505427,0.02953215,0.9024468,-0.06268026,0.4251927,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,7.525738E-09,4.079165E-08,3.564059E-09,1,1,0,0,0,1
857.8195,3.617196,2.139212,0.2593072,-0.3029582,-0.01590223,0.07636284,0.9498065,0.3505427,0.02953281,0.9024474,-0.06268194,0.4251911,1,0,0,0,141.7915,133.8147,90.7879,51.95402,36.12099,32.77999,56.70227,63.5559,0,1,0,0,0,-9.688157E-09,7.191009E-09,1.963889E-08,1,1,0,0,0,1
857.8634,3.617196,2.139212,0.2593072,-0.3029582,-0.01590222,0.07636286,0.9498064,0.3505427,0.02953333,0.9024479,-0.06268327,0.4251899,1,0,0,0,138.9557,131.1384,88.97214,50.91494,35.39857,32.12439,55.56823,62.28478,0,1,0,0,0,-0.000000004,3.189681E-09,-3.73046E-09,1,1,0,0,0,1
857.9138,3.617196,2.139212,0.2593072,-0.3029583,-0.01590218,0.07636295,0.9498063,0.3505427,0.02953374,0.9024482,-0.06268431,0.425189,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-2.025973E-08,6.868796E-08,8.819208E-09,1,1,0,0,0,1
857.9634,3.617196,2.139212,0.2593072,-0.3029583,-0.0159022,0.07636297,0.9498063,0.3505427,0.02953405,0.9024485,-0.06268506,0.4251883,1,0,0,0,155.9707,147.1962,99.86668,57.14943,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,6.417348E-09,-8.610449E-09,1.809836E-08,1,1,0,0,0,1
858.0137,3.617196,2.139212,0.2593072,-0.3029583,-0.01590224,0.07636297,0.9498063,0.3505427,0.0295343,0.9024487,-0.0626857,0.4251877,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-2.572635E-09,-3.491566E-08,1.861302E-08,1,1,0,0,0,1
858.0631,3.617196,2.139212,0.2593072,-0.3029582,-0.01590226,0.07636297,0.9498064,0.3505427,0.02953447,0.9024489,-0.06268615,0.4251872,1,0,0,0,133.284,125.7858,85.34062,48.83678,33.95374,30.81319,53.30014,59.74254,0,1,0,0,0,8.272237E-09,-1.311168E-08,1.219362E-08,0.9999999,1,0,0,0,1
858.1135,3.617196,2.139212,0.2593072,-0.3029582,-0.01590217,0.07636303,0.9498064,0.3505427,0.02953462,0.902449,-0.06268652,0.4251869,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,5.383304E-09,0.000000106,2.794186E-08,1,1,0,0,0,1
858.1639,3.617196,2.139212,0.2593072,-0.3029583,-0.01590215,0.07636303,0.9498064,0.3505427,0.02953475,0.9024491,-0.06268685,0.4251867,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-3.104635E-09,2.508405E-08,-1.137107E-08,1,1,0,0,0,1
858.2134,3.617196,2.139212,0.2593072,-0.3029582,-0.01590226,0.07636299,0.9498064,0.3505427,0.02953485,0.9024492,-0.06268711,0.4251864,1,0,0,0,155.9707,147.1962,99.86668,57.14943,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,5.497724E-09,-1.042377E-07,3.218615E-08,0.9999999,1,0,0,0,1
858.2639,3.617196,2.139212,0.2593072,-0.3029583,-0.01590234,0.07636293,0.9498063,0.3505427,0.02953496,0.9024492,-0.06268733,0.4251864,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,1.437311E-08,-9.679946E-08,0.00000001,1,1,0,0,0,1
858.3134,3.617196,2.139212,0.2593072,-0.3029583,-0.01590241,0.07636286,0.9498063,0.3505427,0.02953501,0.9024492,-0.06268747,0.4251863,1,0,0,0,155.9707,147.1962,99.86668,57.14943,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,4.754748E-09,-8.125565E-08,-3.579446E-10,1,1,0,0,0,1
858.3638,3.617196,2.139212,0.2593072,-0.3029583,-0.01590245,0.07636282,0.9498064,0.3505427,0.02953507,0.9024493,-0.06268761,0.4251862,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,0.000000003,-6.122873E-08,-2.179169E-08,1,1,0,0,0,1
858.4132,3.617196,2.139212,0.2593072,-0.3029583,-0.0159024,0.07636281,0.9498063,0.3505427,0.02953513,0.9024493,-0.06268772,0.4251862,1,0,0,0,155.9707,147.1962,99.86668,57.14943,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,2.21119E-09,3.837435E-08,-0.000000019,1,1,0,0,0,1
858.4636,3.617196,2.139212,0.2593072,-0.3029583,-0.0159024,0.07636278,0.9498064,0.3505427,0.02953516,0.9024493,-0.06268781,0.4251861,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,3.408137E-09,-1.333129E-08,7.764216E-09,0.9999999,1,0,0,0,1
858.5131,3.617196,2.139212,0.2593072,-0.3029583,-0.01590237,0.07636281,0.9498063,0.3505427,0.02953516,0.9024493,-0.06268781,0.4251861,1,0,0,0,155.9707,147.1962,99.86668,57.14943,39.73309,36.05799,62.3725,69.91148,0,1,0,0,0,4.537704E-10,3.708242E-08,7.587876E-09,1,1,0,0,0,1
858.5635,3.617196,2.139212,0.2593072,-0.3029583,-0.01590237,0.07636286,0.9498064,0.3505427,0.02953516,0.9024494,-0.06268782,0.4251861,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-0.000000011,2.316163E-08,0.00000003,1,1,0,0,0,1
858.614,3.617196,2.139212,0.2593072,-0.3029583,-0.01590255,0.07636287,0.9498064,0.3505427,0.02953516,0.9024494,-0.06268783,0.4251861,1,0,0,0,158.8065,149.8725,101.6824,58.18851,40.45551,36.7136,63.50654,71.1826,0,1,0,0,0,-1.644176E-09,-1.554703E-07,4.03267E-08,1,1,0,0,0,1
