3,2,Time2-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
434.2667,0.6233704,-0.08283302,1.744741,5.278115E-07,2.344213E-07,4.010592E-06,1,0.1301033,0.02362735,0.6991259,-0.02312756,0.7142338,0,0,0,0,84.52904,103.7184,0,1,0,0,0,3.159564E-11,-4.363544E-10,1.059178E-09,1,1,-8.084466E-12,-9.767053E-10,2.960603E-09,1,1,1,0,0,0,3.159564E-11,-4.363544E-10,1.059178E-09,1,1,-8.084466E-12,-9.767053E-10,2.960603E-09,1,2,1,0.07428472,0.1220423,0.0181714,0,0,0,1,1,0.0001518396,-0.001717432,0.0001717745,0.9999985
434.3156,0.6663564,-0.0109551,1.755844,5.276457E-07,2.335656E-07,4.014056E-06,1,0.1301033,0.01899173,0.6972939,-0.01848793,0.7162952,0,0,0,0,92.72766,114.4526,0,1,0,0,0,-1.00671E-10,-2.453649E-10,1.691337E-09,1,1,-1.747121E-10,-5.310339E-10,-2.794051E-09,1,1,1,0,0,0,-6.500996E-11,-6.103287E-10,1.773675E-09,1,1,-1.747121E-10,-5.310339E-10,-2.794051E-09,1,2,1,0.03807029,0.06410435,0.008734226,0,0,0,1,1,-0.001191355,-0.004615455,0.003048619,0.9999841
434.3657,0.7145525,0.06932832,1.76354,5.278104E-07,2.315549E-07,4.013612E-06,1,0.1301033,0.01355726,0.6950473,-0.01311078,0.7187167,0,0,0,0,100.8879,125.1542,0,1,0,0,0,5.468368E-11,-7.746296E-10,3.990663E-10,1,1,1.651034E-10,-1.697501E-09,-2.085323E-09,1,1,1,0,0,0,1.098935E-10,-1.236065E-09,-8.431285E-10,1,1,5.475023E-11,-4.964241E-10,-5.525457E-10,1,2,1,0.04636568,0.07744208,0.005769629,0,0,0,1,1,-0.0001540628,-0.001128026,0.0007796203,0.9999989
434.4158,0.7458323,0.1244536,1.770606,5.278997E-07,2.313202E-07,4.014954E-06,1,0.1301033,0.008391303,0.6937144,-0.008083205,0.720156,0,0,0,0,98.82588,123.2161,0,1,0,0,0,5.644796E-11,-4.66191E-12,9.124589E-10,1,1,4.602313E-11,3.889898E-10,1.010227E-09,1,1,1,0,0,0,3.296459E-11,-2.300901E-10,4.297379E-10,1,1,5.751893E-11,1.238577E-09,9.985517E-10,1,2,1,0.02346735,0.04452856,0.008211703,0,0,0,1,1,0.001465815,5.378308E-05,0.001132824,0.999998
434.4665,0.7680584,0.1670193,1.77788,5.279633E-07,2.336583E-07,4.014625E-06,1,0.1301033,0.003058528,0.6916071,-0.002928717,0.7222615,0,0,0,0,97.32568,121.8091,0,1,0,0,0,3.051374E-11,1.485186E-09,-1.177714E-10,1,1,5.163649E-11,-7.185441E-11,-8.610048E-10,1,1,1,0,0,0,3.305932E-11,8.530142E-10,-2.110545E-10,1,1,3.750017E-11,5.613723E-10,-5.48888E-10,1,2,1,0.01981826,0.03975247,0.007206362,0,0,0,1,1,-0.004550403,-0.005399954,0.001656258,0.9999735
434.5168,0.7870878,0.2054024,1.784823,5.279546E-07,2.321442E-07,4.014559E-06,1,0.1301033,-0.001299201,0.6896959,0.001237477,0.724097,0,0,0,0,96.20673,120.7635,0,1,0,0,0,-4.943744E-12,-1.595528E-10,3.808136E-11,1,1,-2.060117E-13,1.697704E-09,1.223018E-10,1,1,1,0,0,0,-3.762925E-12,-1.354538E-09,-1.036998E-10,1,1,-1.984469E-12,1.715826E-10,9.300978E-12,1,2,1,0.01548234,0.03195674,0.005920232,0,0,0,1,1,0.002082602,0.0003620486,-0.000740599,0.9999974
434.5661,0.8033809,0.2397265,1.791266,5.279581E-07,2.323866E-07,4.013637E-06,1,0.1301033,-0.005584695,0.68744,0.005286617,0.7262004,0,0,0,0,92.11775,115.9162,0,1,0,0,0,9.456067E-13,1.102424E-09,-3.577599E-10,1,1,2.338791E-11,-1.69905E-09,-1.077069E-09,1,1,1,0,0,0,2.601766E-12,-8.599826E-10,-5.634982E-10,1,1,7.826165E-12,-8.58741E-10,-6.58503E-10,1,2,1,0.01738703,0.03754903,0.007191351,0,0,0,1,1,0.0005227911,-0.004660587,0.001625706,0.9999874
434.617,0.8181935,0.272147,1.797565,5.27911E-07,2.339967E-07,4.014078E-06,1,0.1301033,-0.009423709,0.6852084,0.008866961,0.7282321,0,0,0,0,94.50245,119.1772,0,1,0,0,0,-3.834076E-11,1.069612E-09,3.021179E-10,1,1,-7.227254E-11,3.5752E-10,5.932858E-10,1,1,1,0,0,0,-8.841555E-12,5.403833E-10,1.379661E-10,1,1,-9.3521E-11,2.020675E-09,7.57072E-10,1,2,1,0.01323023,0.02965618,0.005870502,0,0,0,1,1,0.0009933447,0.0003706728,0.0001376818,0.9999994
434.6666,0.8273804,0.2927792,1.801626,5.279494E-07,2.330247E-07,4.013189E-06,1,0.1301033,-0.01301722,0.6848654,0.01223836,0.7284506,0,0,0,0,90.66611,114.5677,0,1,0,0,0,0,0,0,1,1,2.013517E-11,-2.396271E-09,-1.492272E-11,0.9999999,1,1,0,0,0,3.833529E-11,-9.719899E-10,-8.886532E-10,1,1,4.940156E-11,-2.479322E-09,-7.082038E-10,0.9999999,2,1,0.00353644,0.008120752,0.001595775,0,0,0,1,1,0.0006617968,0.003874676,0.001157868,0.9999916
434.7159,0.8294715,0.2975094,1.802555,5.279546E-07,2.322839E-07,4.013143E-06,1,0.1301033,-0.01588047,0.6848021,0.0149299,0.7284031,0,0,0,0,90.25342,114.185,0,1,0,0,0,1.56084E-11,-9.127131E-10,-3.383269E-10,1,1,-6.880333E-11,-2.569968E-09,4.460035E-10,1,1,1,0,0,0,-1.03544E-11,1.719026E-10,2.916673E-10,1,1,-5.054943E-12,-2.618932E-09,-7.937667E-11,1,2,1,0,0,0,0,0,0,1,1,0.001233835,0.001128738,0.0001264785,0.9999985
434.7659,0.8268049,0.2926396,1.802989,5.278006E-07,2.361545E-07,4.013822E-06,1,0.1301033,-0.01817509,0.6856126,0.01712772,0.7275382,0,0,0,0,93.2191,117.9866,0,1,0,0,0,-7.705813E-11,1.935285E-09,3.394453E-10,1,1,-1.096698E-10,-2.204488E-09,3.068258E-09,1,1,1,0,0,0,-7.705813E-11,1.935285E-09,3.394453E-10,1,1,-5.326303E-11,-2.11518E-09,2.475028E-09,1,2,1,-0.005824694,-0.01089701,0.0005899798,0,0,0,1,1,-0.0006653537,0.001576752,0.0003538677,0.9999987
434.8161,0.822855,0.2868032,1.805015,5.279168E-07,2.362344E-07,4.014532E-06,1,0.1301033,-0.0193433,0.686233,0.01826125,0.7268952,0,0,0,0,90.18908,114.1266,0,1,0,0,0,9.579985E-11,-1.021817E-09,9.551765E-10,1,1,2.297598E-11,2.162131E-09,3.268357E-09,1,1,1,0,0,0,2.055695E-11,1.101735E-09,-2.449997E-10,1,1,2.297598E-11,2.162131E-09,3.268357E-09,1,2,1,-0.003571146,-0.005432777,0.001661935,0,0,0,1,1,0.0009628508,0.002084621,-0.0021734,0.9999949
