Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
448.0253,0.4169407,1.189542,1.546826,1.064251E-08,-1.498268E-07,-0.000000161,1,0.614588,-0.01463812,0.660463,0.01288019,0.7506055,0,0,0,0,183.319,225.5011,0,1,-0.01082498,-0.02902457,0.08396178,-2.787047E-10,-1.438158E-09,-7.382343E-10,1,1,0,0,0,1,1,1,-0.003931255,0.002232106,0.01767934,1.714798E-11,5.519823E-10,-0.000000006,1,1,0,0,0,1
448.075,0.4040924,1.178176,1.619039,9.518277E-09,-1.541722E-07,-1.604805E-07,1,0.614588,-0.013434,0.6529757,0.01158533,0.757171,0,0,0,0,183.2941,225.6358,0,1,-0.003166724,-0.007939301,0.02009688,-1.862038E-10,2.334755E-09,-9.551995E-11,1,1,0,0,0,1,1,1,-0.008248842,0.007511906,0.03538762,-9.380318E-10,-6.680188E-09,6.137624E-10,1,1,0,0,0,1
448.1255,0.398875,1.18043,1.644193,1.019751E-08,-1.489101E-07,-1.649262E-07,1,0.614588,-0.01247675,0.6464695,0.01057448,0.7627645,0,0,0,0,183.5231,225.9342,0,1,0,0,0,3.522252E-10,3.387651E-09,-0.000000002,1,1,0,0,0,1,1,1,-0.002983938,0.002523431,0.01173632,3.270064E-10,1.874456E-09,-2.45798E-09,1,1,0,0,0,1
448.1754,0.3940385,1.184968,1.663683,1.078411E-08,-1.508222E-07,-1.658353E-07,1,0.614588,-0.01179108,0.6410258,0.009849787,0.7673656,0,0,0,0,187.3703,230.6614,0,1,0,0,0,1.510075E-10,-6.419802E-10,-3.228463E-10,1,1,0,0,0,1,1,1,-0.004586159,0.005290082,0.01763444,4.355919E-10,-1.270022E-09,-5.862554E-10,1,1,0,0,0,1
448.2249,0.3911059,1.192586,1.676723,9.66762E-09,-1.059478E-07,-1.655681E-07,1,0.614588,-0.0113692,0.6365044,0.009384312,0.7711322,0,0,0,0,176.4838,217.2475,0,1,0.0004664831,0.002938117,0.0003871192,-5.582442E-10,2.243718E-08,1.336751E-10,1,1,0,0,0,1,1,1,-0.002170001,0.005638553,0.008971006,-5.582442E-10,2.243718E-08,1.336751E-10,1,1,0,0,0,1
448.2748,0.3890087,1.203489,1.68727,9.580313E-09,-1.123278E-07,-1.654845E-07,1,0.614588,-0.01121718,0.6328123,0.009169009,0.7741697,0,0,0,0,180.2297,221.8577,0,1,0,0,0,-4.365549E-11,-3.18999E-09,4.182951E-11,1,1,0,0,0,1,1,1,-0.002731393,0.01149865,0.0121765,-4.365549E-11,-3.18999E-09,4.182951E-11,1,1,0,0,0,1
448.3254,0.3857954,1.217277,1.70149,1.015803E-08,-1.287803E-07,-1.693307E-07,1,0.6038194,-0.01132974,0.6297106,0.00918569,0.776693,0,0,0,0,183.9114,226.4038,0,1,0,0,0,3.346946E-10,-3.702012E-09,-2.651835E-09,1,0.9824784,0,0,0,1,1,1,-0.003540824,0.01435846,0.01520527,2.430159E-10,-1.275041E-08,-1.194396E-09,1,1,0,0,0,1
448.3755,0.3813846,1.230688,1.718839,1.051051E-08,-1.002945E-07,-1.717797E-07,1,0.562429,-0.01165248,0.6270017,0.009380367,0.7788743,0,0,0,0,172.3821,212.3434,0,1,0,0,0,3.552088E-10,1.058836E-08,-1.275969E-09,1,0.9314523,0,0,0,1,1,1,-0.004608557,0.01423117,0.01803364,-2.731731E-12,1.789744E-08,-1.172941E-09,1,1,0,0,0,1
448.4253,0.3768775,1.247061,1.736873,9.91221E-09,-1.373563E-07,-1.703438E-07,1,0.5493367,-0.01217704,0.6245729,0.009740447,0.7808108,0,0,0,0,175.4137,216.2444,0,1,0,0,0,-3.409656E-10,-1.8918E-08,0.000000001,1,0.9767219,0,0,0,1,1,1,-0.004528786,0.01723079,0.01818211,-2.573319E-10,-1.814377E-08,4.383548E-10,1,1,0,0,0,1
448.4757,0.3720185,1.260352,1.754769,1.132829E-08,-1.844439E-07,-1.744023E-07,1,0.53923,-0.01285367,0.6223572,0.0102223,0.7825611,0,0,0,0,175.2465,216.0855,0,1,0,0,0,7.080387E-10,-2.35438E-08,-0.000000002,1,0.9816021,0,0,0,1,1,1,-0.0050405,0.01125402,0.01777469,7.080387E-10,-2.35438E-08,-0.000000002,1,1,0,0,0,1
