Time;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;IsInCollision;CollisionForce X;CollisionForce Y;CollisionForce Z;Checkpoint0;Checkpoint1;Checkpoint2;Checkpoint3;Checkpoint4;Checkpoint5;Checkpoint6;Checkpoint7;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W
660,7859;3,40427;1,31863;2,739089;-0,01368586;0,7287323;0,005342894;0,6846411;0,3729213;-0,01019029;0,696052;0,009880845;0,717851;1;0;-5,3525E-05;0,000660181;24,93113;27,11904;57,75921;85,28588;103,3015;91,41917;84,16245;84,16317;0;1;0;0;0;-2,75925E-11;-2,3124E-09;3,6797E-09;1;1;0;0;0;1;1;1;-0,000242895;0,000151135;-0,002986329;-2,2057E-10;-5,59045E-10;8,94827E-09;1;1;0;0;0;1
660,8342;3,404337;1,319674;2,739651;-0,01368587;0,7287325;0,005342895;0,6846408;0,3729213;-0,01127367;0,6961527;0,01093487;0,7177219;1;0;-9,77516E-06;0,00012064;24,38973;26,35862;56,26962;83,14499;100,7347;89,15781;82,09123;82,13345;0;1;0;0;0;4,85389E-11;-7,37069E-10;7,13126E-10;1;1;0;0;0;1;1;1;0,000357596;0,002975843;0,0001284;2,54747E-11;1,48309E-10;3,48319E-10;1;1;0;0;0;1
660,8853;3,40458;1,324269;2,740081;-0,01368587;0,728733;0,005342904;0,6846403;0,3729213;-0,01216318;0,6962221;0,01180039;0,7176265;1;-0,00012064;-4,29153E-06;5,36442E-05;26,27292;28,26017;60,43515;89,34684;108,2681;95,83759;88,25206;88,32114;0;1;0;0;0;-1,32053E-11;-2,98109E-09;1,06173E-09;1;1;0;0;0;1;1;1;0,000714927;0,005951792;0,000255036;2,47318E-11;-3,50874E-09;1,04682E-09;1;1;0;0;0;1
660,9348;3,40458;1,331036;2,740649;-0,01368587;0,7287329;0,0053429;0,6846404;0,3729213;-0,0129513;0,6962649;0,01256698;0,717558;1;-0,000206471;-5,60284E-06;6,8903E-05;26,41488;28,08113;60,28671;89,24394;108,1934;95,79891;88,24049;88,36673;0;1;0;0;0;4,58455E-11;-2,95938E-09;-7,10024E-10;0,9999999;1;0;0;0;1;1;1;0,00070682;0,005953111;0,000246729;-3,84572E-12;-1,67742E-09;-1,27336E-09;0,9999999;1;0;0;0;1
660,9854;3,404347;1,333208;2,740877;-0,01368587;0,7287332;0,005342902;0,6846401;0,3729213;-0,01363245;0,6962896;0,01322927;0,7175096;1;-4,45843E-05;-9,53674E-07;1,23978E-05;27,21705;28,49203;61,48857;91,1785;110,6059;97,97008;90,27185;90,48295;0;1;0;0;0;-6,46081E-11;2,01549E-09;-1,08396E-09;1;1;0;0;0;1;1;1;0;0;0;-6,88019E-11;1,53671E-09;-1,27835E-09;1;1;0;0;0;1
661,0353;3,404405;1,335525;2,741052;-0,01368588;0,7287331;0,005342903;0,6846403;0,3729213;-0,01418775;0,6963053;0,01376916;0,7174733;1;-7,79629E-05;-2,02656E-06;2,55108E-05;26,68908;27,72283;59,99316;89,03734;108,0416;95,71537;88,20964;88,45945;0;1;0;0;0;-1,08522E-10;3,46768E-09;1,85826E-09;1;1;0;0;0;1;1;1;0,000339921;0,00297775;0,000132125;-9,73014E-11;3,42468E-09;1,98683E-09;1;1;0;0;0;1
661,0847;3,40439;1,33869;2,741313;-0,01368588;0,7287332;0,005342908;0,6846401;0,3729213;-0,01466894;0,6963121;0,0142368;0,7174479;1;-7,84397E-05;-1,78814E-06;2,19345E-05;26,77476;27,61463;59,90289;88,97358;107,9945;95,68958;88,2001;88,48622;0;1;0;0;0;1,18862E-10;3,21709E-09;-1,6236E-09;1;1;0;0;0;1;1;1;0,000337506;0,002978005;0,000132576;8,60981E-11;3,92747E-09;-8,04226E-10;1;1;0;0;0;1
661,1343;3,404469;1,341628;2,746818;-0,01368588;0,7287334;0,005342909;0,6846399;0,3729213;-0,01509677;0,6962639;0,0146504;0,7174776;1;-0,000122786;0;0;25,62553;26,18994;57,02645;84,78651;102,9462;91,24135;84,12045;84,4357;0;1;0;0;0;-1,98986E-11;1,06218E-09;1,55934E-10;1;1;0;0;0;1;1;1;0,000989603;0,002497972;0,009098357;-1,98986E-11;1,06218E-09;1,55934E-10;1;1;0;0;0;1
661,1845;3,404624;1,344884;2,753039;-0,0136859;0,7287335;0,005342916;0,6846398;0,3729213;-0,0154613;0,6961321;0,01499895;0,7175905;1;-0,000300407;0;0;26,92027;27,31295;59,81346;88,99937;108,0769;95,83183;88,38176;88,74353;0;1;0;0;0;-2,04725E-10;-2,42934E-09;4,93628E-09;1;1;0;0;0;1;1;1;0,001090548;0,005636821;0,006247957;-1,85048E-10;-2,37022E-09;5,9259E-09;0,9999999;1;0;0;0;1
661,2353;3,404453;1,347055;2,759584;-0,0136859;0,7287338;0,005342926;0,6846395;0,3729213;-0,01580518;0,6959216;0,01532386;0,7177802;1;-0,000163555;0;0;26,35422;26,4715;58,43767;87,04307;105,7206;93,80196;86,54955;86,94202;0;1;0;0;0;-2,12293E-11;-2,24467E-09;2,72833E-09;1;1;0;0;0;1;1;1;0,000417806;-0,000326901;0,005976501;-2,12293E-11;-2,24467E-09;2,72833E-09;1;1;0;0;0;1
