Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
478.9787,1.641994,0.017033,-0.1950593,1.879014E-07,1.751412E-07,1.215254E-06,1,1,0.05650923,0.7459286,-0.06381337,0.660549,0,0,0,0,218.0259,0,1,0.04358021,0.003353032,-0.01111405,-2.289815E-09,9.037775E-10,-1.783493E-08,1,1,0,0,0,1
479.0294,1.669776,0.01927196,-0.1971062,1.889485E-07,1.819193E-07,1.248227E-06,1,1,0.05502177,0.7453908,-0.06200394,0.6614535,0,0,0,0,211.9263,0,1,0,0,0,0.000000001,6.778063E-09,0.000000033,1,1,0,0,0,1
479.0789,1.674445,0.01964827,-0.1974502,1.892648E-07,1.824475E-07,1.248497E-06,1,1,0.05384641,0.7449731,-0.06058142,0.6621523,0,0,0,0,209.9637,0,1,0,0,0,3.162509E-10,5.282185E-10,2.694889E-10,0.9999999,1,0,0,0,1
479.1293,1.67523,0.01971151,-0.197508,1.901182E-07,1.803241E-07,1.2457E-06,1,1,0.05293404,0.7446491,-0.05948075,0.6626899,0,0,0,0,205.6749,0,1,0,0,0,8.533698E-10,-2.123368E-09,-2.796831E-09,0.9999999,1,0,0,0,1
479.1788,1.675362,0.01972214,-0.1975178,1.90604E-07,1.758074E-07,1.245717E-06,1,1,0.05222678,0.7443975,-0.05862951,0.6631043,0,0,0,0,209.3766,0,1,0,0,0,4.858439E-10,-4.516717E-09,1.712275E-11,1,1,0,0,0,1
479.2292,1.675384,0.01972393,-0.1975194,1.913223E-07,1.722523E-07,1.254338E-06,1,1,0.05167829,0.744202,-0.05797053,0.6634247,0,0,0,0,213.1609,0,1,0,0,0,7.187979E-10,-3.666854E-09,6.223412E-09,1,1,0,0,0,1
479.2787,1.677377,0.02005629,-0.1947563,1.914273E-07,1.644352E-07,0.000001245,1,1,0.05125131,0.7440352,-0.05745576,0.6636894,0,0,0,0,209.3438,0,1,0.003900869,0.0006511075,0.00541842,1.044817E-10,-7.705319E-09,-6.913231E-09,1,1,0,0,0,1
479.3292,1.710545,0.02748671,-0.095862,1.937912E-07,1.61565E-07,0.000001255,1,1,0.05090189,0.7430575,-0.05688877,0.6648595,0,0,0,0,212.3585,0,1,0.04813625,0.01094703,0.1467949,2.363898E-09,-2.870275E-09,9.929008E-09,1,1,0,0,0,1
479.3786,1.808499,0.04886285,0.1215944,1.947281E-07,1.659497E-07,1.244754E-06,1,1,0.05050465,0.7395276,-0.05583713,0.6689023,0,0,0,0,203.6931,0,1,0.1212705,0.02632719,0.2499165,9.369601E-10,4.384705E-09,-1.02031E-08,1,1,0,0,0,1
479.4291,1.908817,0.07384446,0.347506,1.959211E-07,0.000000156,1.240701E-06,1,1,0.04993173,0.7333967,-0.05418762,0.6757957,0,0,0,0,197.7483,0,1,0.1035828,0.02881662,0.2624806,1.193026E-09,-0.00000001,-4.052969E-09,1,1,0,0,0,1
479.4785,1.944975,0.08434489,0.4469921,1.966644E-07,1.651621E-07,0.000001236,1,1,0.04928322,0.7261543,-0.05233864,0.6837629,0,0,0,0,184.5798,0,1,0,0,0,7.432744E-10,9.203328E-09,-4.677865E-09,1,1,0,0,0,1
479.5289,1.951052,0.0861097,0.4637127,1.964928E-07,1.63727E-07,1.243051E-06,1,1,0.04870298,0.7199453,-0.05078317,0.6904548,0,0,0,0,183.0204,0,1,0,0,0,-1.715786E-10,-1.435121E-09,0.000000007,1,1,0,0,0,1
479.5794,1.952073,0.08640631,0.4665229,1.965462E-07,1.706146E-07,1.258761E-06,1,1,0.04822009,0.7150182,-0.04956064,0.6956778,0,0,0,0,181.5705,0,1,0,0,0,5.337134E-11,6.887587E-09,1.571036E-08,1,1,0,0,0,1
479.6288,1.952245,0.08645616,0.4669952,1.96282E-07,0.000000169,1.246342E-06,1,1,0.04782849,0.7111697,-0.04861217,0.6997049,0,0,0,0,177.998,0,1,0,0,0,-2.641725E-10,-1.623847E-09,-1.241959E-08,1,1,0,0,0,1
479.6792,1.952273,0.08646454,0.4670746,1.962836E-07,1.694976E-07,1.228778E-06,1,1,0.04751506,0.7081755,-0.04787804,0.7028068,0,0,0,0,181.1599,0,1,0,0,0,1.525597E-12,5.068593E-10,-1.756393E-08,1,1,0,0,0,1
479.7287,1.952278,0.08646594,0.467088,1.962426E-07,1.695074E-07,0.000001215,1,1,0.04726636,0.7058495,-0.04731002,0.705198,0,0,0,0,177.9101,0,1,-0.002430763,-9.756099E-06,0.009170132,-4.907327E-11,-1.198716E-11,-1.944543E-08,1,1,0,0,0,1
479.7794,1.928034,0.0858361,0.5537223,1.962599E-07,1.694017E-07,1.206168E-06,1,1,0.0471354,0.703484,-0.04686146,0.7075964,0,0,0,0,168.1337,0,1,-0.04621962,-0.0003623732,0.1801265,2.540767E-11,-8.385017E-11,-3.164104E-09,1,1,0,0,0,1
479.8291,1.903089,0.09287409,0.7615387,1.962007E-07,1.691366E-07,1.213393E-06,1,1,0.04722959,0.698846,-0.0463437,0.712205,0,0,0,0,176.645,0,1,-0.004526199,0.01332718,0.2190821,-5.915355E-11,-2.651198E-10,7.22483E-09,1,1,0,0,0,1
479.8786,1.895437,0.1029547,0.9311674,1.958859E-07,1.678868E-07,1.196703E-06,1,1,0.04734254,0.6921094,-0.04558497,0.7187943,0,0,0,0,173.55,0,1,-0.007489426,0.008673219,0.1350536,-3.148873E-10,-1.249768E-09,-1.669009E-08,1,1,0,0,0,1
479.929,1.892256,0.1072306,0.9971858,1.956035E-07,0.000000165,1.181251E-06,1,1,0.04741029,0.6849898,-0.04475502,0.7256295,0,0,0,0,173.5078,0,1,0,0,0,-2.82377E-10,-2.852149E-09,-1.545282E-08,1,1,0,0,0,1
479.9792,1.891721,0.1079493,1.008282,1.956371E-07,1.578584E-07,1.178352E-06,1,1,0.04743942,0.6790161,-0.04404995,0.7312635,0,0,0,0,168.6485,0,1,0,0,0,3.357509E-11,-7.176232E-09,-2.898643E-09,1,1,0,0,0,1
480.0291,1.891632,0.1080701,1.010146,1.952504E-07,1.618911E-07,1.169487E-06,1,1,0.04744682,0.6742916,-0.04348911,0.7356551,0,0,0,0,162.0601,0,1,0,0,0,-3.867346E-10,0.000000004,-8.865422E-09,1,1,0,0,0,1
480.0786,1.891617,0.1080904,1.01046,1.948146E-07,0.000000158,1.158549E-06,1,1,0.04744342,0.6706063,-0.04305013,0.739042,0,0,0,0,168.0643,0,1,0,0,0,-4.357713E-10,-3.926113E-09,-1.09382E-08,1,1,0,0,0,1
480.1291,1.893193,0.1088577,1.014135,1.9336E-07,1.474739E-07,1.170653E-06,1,1,0.04743236,0.6677304,-0.04270412,0.7416621,0,0,0,0,171.0949,0,1,0.005262247,0.002546445,0.01207577,-1.454624E-09,-1.049106E-08,1.210477E-08,1,1,0,0,0,1
480.1786,1.891527,0.1180443,1.155543,1.918188E-07,1.504317E-07,1.194257E-06,1,1,0.04738309,0.6645283,-0.04228998,0.7445593,0,0,0,0,167.6689,0,1,-0.01005736,0.01786779,0.3053302,-1.541214E-09,0.000000003,2.360378E-08,1,1,0,0,0,1
480.229,1.902639,0.1476654,1.487447,1.933555E-07,1.645786E-07,1.187882E-06,1,1,0.04717143,0.6572956,-0.04128455,0.7510212,0,0,0,0,167.4263,0,1,0.02939826,0.03914251,0.3393285,1.536684E-09,1.414697E-08,-6.37562E-09,1,1,0,0,0,1
480.2785,1.91384,0.1723392,1.719977,1.936041E-07,1.575652E-07,1.191154E-06,1,1,0.04660213,0.6468214,-0.03965264,0.7601829,0,0,0,0,138.1904,0,1,-0.001944874,0.01255946,0.1346646,2.486304E-10,-0.000000007,3.271522E-09,1,1,0,0,0,1
480.3289,1.91185,0.1806497,1.810757,1.9305E-07,1.483445E-07,1.186389E-06,1,1,0.04594144,0.6362863,-0.03800569,0.7691455,0,0,0,0,157.2347,0,1,-0.003091498,0.002318656,0.02975006,-5.540768E-10,-9.220818E-09,-4.764631E-09,1,1,0,0,0,1
480.3793,1.911293,0.1822134,1.828158,1.918624E-07,1.475824E-07,1.187907E-06,1,1,0.04534173,0.6274422,-0.03663892,0.7764779,0,0,0,0,156.3989,0,1,0,0,0,-1.187589E-09,-7.620911E-10,1.517534E-09,1,1,0,0,0,1
480.4288,1.911199,0.1824763,1.831082,1.89443E-07,1.375484E-07,1.198797E-06,1,1,0.04483827,0.620463,-0.0355695,0.7821445,0,0,0,0,153.9074,0,1,0,0,0,-2.41935E-09,-0.00000001,1.089056E-08,1,1,0,0,0,1
480.4789,1.911183,0.1825204,1.831574,1.901903E-07,1.601757E-07,1.184834E-06,1,1,0.04442765,0.6150246,-0.0347419,0.7864884,0,0,0,0,123.1894,0,1,0,0,0,7.472906E-10,2.262733E-08,-0.000000014,1,1,0,0,0,1
480.529,1.911181,0.1825279,1.831656,1.914599E-07,1.636639E-07,0.000001184,1,1,0.04409769,0.6107987,-0.03410242,0.7898211,0,0,0,0,140.0053,0,1,0,0,0,1.269506E-09,3.488179E-09,-8.31303E-10,1,1,0,0,0,1
480.5794,1.939917,0.1952596,1.832385,0.000000192,1.531135E-07,1.181805E-06,1,1,0.04375863,0.6075498,-0.03355214,0.7923653,0,0,0,0,156.7798,0,1,0.08619426,0.03801118,0.0006396385,5.467698E-10,-1.05504E-08,-2.197942E-09,1,1,0,0,0,1
480.6289,2.193883,0.3049644,1.802231,1.937065E-07,1.409049E-07,1.18728E-06,1,1,0.04193733,0.606098,-0.03202737,0.7936377,0,0,0,0,150.7316,0,1,0.3467575,0.1497113,-0.05302016,1.699851E-09,-1.220854E-08,5.475441E-09,1,1,0,0,0,1
480.6792,2.414364,0.402168,1.756001,0.000000196,1.572424E-07,1.18134E-06,1,1,0.03812248,0.6069782,-0.02916988,0.7932675,0,0,0,0,138.189,0,1,0.1547947,0.06940433,-0.04611213,2.288802E-09,1.633749E-08,-5.940205E-09,1,1,0,0,0,1
480.7292,2.484714,0.4333555,1.737016,1.968761E-07,1.523704E-07,1.182064E-06,1,1,0.03400046,0.6088519,-0.02613384,0.792124,0,0,0,0,125.9882,0,1,0,0,0,8.807792E-10,-4.872011E-09,7.242311E-10,1,1,0,0,0,1
480.7787,2.496538,0.4385972,1.733825,1.944068E-07,1.346917E-07,1.183503E-06,1,1,0.03064286,0.6105157,-0.02364928,0.7910578,0,0,0,0,120.9411,0,1,0,0,0,-2.439201E-09,-2.177731E-08,4.585531E-09,1,1,0,0,0,1
480.8313,2.498525,0.4394782,1.733289,1.9388E-07,1.11768E-07,1.18438E-06,1,1,0.0280414,0.6118292,-0.0217118,0.7901945,0,0,0,0,99.98225,0,1,0,0,0,-5.26831E-10,-2.292382E-08,8.767078E-10,1,1,0,0,0,1
480.8808,2.498859,0.4396263,1.733198,1.927297E-07,8.245495E-08,1.181598E-06,1,1,0.02603452,0.6128435,-0.02020868,0.7895167,0,0,0,0,119.252,0,1,0,0,0,-1.150388E-09,-2.931305E-08,-2.782451E-09,0.9999999,1,0,0,0,1
