Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
868.1835,3.4377,2.485947,2.030912,-0.07230501,-0.3119784,-0.002765795,0.9473299,0.3300205,0.1060402,0.7198482,-0.1128109,0.6766446,1,0,0,0,70.13924,44.74824,4.154898,38.23059,61.90519,64.18495,71.55197,78.96646,0,1,0,0,0,0.003895251,-0.0006981569,0.0006388074,0.9999913,1,0.003288896,-0.004190472,-0.0004111379,0.999985,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.2332,3.4377,2.485947,2.030912,-0.07230504,-0.3119785,-0.002765798,0.9473298,0.3300205,0.1223058,0.7271655,-0.1343486,0.6619835,1,0,0,0,73.68437,46.99738,4.329295,40.11773,64.97129,67.41926,75.12941,82.91212,0,1,0,0,0,-2.514524E-09,-3.117677E-09,-0.000000004,1,1,0.05031548,0.02945328,0.01260121,0.9982192,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.2832,3.4377,2.485947,2.030912,-0.06833387,-0.3089657,-0.003392088,0.9486091,0.3300205,0.1306459,0.7399141,-0.1504511,0.6425132,1,0,0,0,73.68936,46.99888,4.3249,40.11447,64.96738,67.42254,75.1293,82.91176,0,1,0,0,0,0.004058189,0.003196719,0.0004308393,0.999985,1,0.01548855,0.008381745,0.002395879,0.9998436,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.3329,3.4377,2.485947,2.030912,-0.06227111,-0.307619,-0.004456348,0.9494593,0.3300205,0.1357476,0.7493461,-0.1621027,0.6275155,1,0,0,0,71.98178,45.89481,4.116324,39.11852,63.37552,65.84837,73.34209,80.91469,0,1,0,0,0,0.006142692,0.001446979,0.000774345,0.9999793,1,0.00120221,-0.0001946689,8.999924E-05,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.3829,3.4377,2.485947,2.030912,-0.0586971,-0.3085283,-0.003244327,0.9493968,0.3300205,0.1381595,0.7513274,-0.1664959,0.6234567,1,0,0,0,73.8154,47.03755,4.089779,40.01039,64.85049,67.50667,75.13013,82.86762,0,1,0,0,0,0.003012528,-0.0008232316,0.002306076,0.9999909,1,0.001222642,0.0003612906,0.0008841144,0.9999983,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.4339,3.4377,2.485947,2.030912,-0.0586971,-0.3085284,-0.003244331,0.9493968,0.3300205,0.1375846,0.7488546,-0.1642886,0.6271336,1,0,0,0,75.60238,48.16597,4.149709,40.94013,66.36816,69.13531,76.917,84.84184,0,1,0,0,0,-1.051567E-09,-2.762624E-09,-5.676805E-09,1,1,0.009573073,0.004329603,0.004180577,0.9999381,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.4838,3.4377,2.485947,2.030912,-0.0586971,-0.3085284,-0.003244331,0.9493968,0.3300205,0.1377658,0.7368623,-0.1579412,0.6427356,1,0,0,0,73.8468,47.0466,4.049997,39.98602,64.8224,67.5294,75.12809,82.86887,0,1,0,0,0,0,0,0,1,1,0.01300141,0.002725067,0.0007982745,0.9999121,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.5329,3.4377,2.485947,2.030912,-0.05847351,-0.3084978,-0.003191689,0.9494208,0.3300205,0.1365613,0.7187068,-0.1474494,0.6656352,1,0,0,0,73.84718,47.04667,4.049445,39.98574,64.82203,67.52964,75.12802,82.86889,0,1,0,0,0,0.0001975761,3.894039E-05,0.000117561,1.000001,1,0.002793427,-0.0003480238,0.0009737134,0.9999955,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.5834,3.4377,2.485947,2.030912,-0.05838904,-0.3082338,-0.003093235,0.949512,0.3300205,0.1307334,0.6981183,-0.1319921,0.6914606,1,0,0,0,75.60687,48.16729,4.140444,40.93599,66.36357,69.1387,76.91676,84.84137,0,1,0,0,0,5.603433E-05,0.0002843962,0.0001045123,1,1,-0.0001239763,7.788587E-05,-0.0001713004,0.9999996,1,0,0,0,0,0,0,0,1,1,0,0,0,1
868.6332,3.4377,2.485947,2.030912,-0.05838903,-0.3082338,-0.003093235,0.949512,0.3300205,0.1229848,0.679256,-0.1170001,0.7140008,1,0,0,0,73.84862,47.04715,4.039845,39.9832,64.81952,67.53106,75.1281,82.86762,0,1,0,0,0,9.656048E-09,-4.104332E-09,7.510381E-09,1,1,0.002576422,0.002735226,-0.001051085,0.9999937,1,0,0,0,0,0,0,0,1,1,0,0,0,1
