Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
399.4985,3.621079,1.192669,1.734083,0.004734823,0.12978,-0.02663982,0.9911736,0.191605,-0.01035912,0.6581616,0.009057409,0.7527509,1,0,0,0,8.828133,39.53429,0,1,0,0,0,1.380496E-10,3.923179E-09,-1.281196E-09,1,1,0,0,0,1,1,1,0,0,0,1.433455E-10,1.925272E-09,-1.338982E-09,1,1,0,0,0,1,2,1,0,0,0,9.437091E-11,2.223731E-09,-1.227157E-09,1,1,0,0,0,1
399.5486,3.621079,1.192667,1.734074,0.004734824,0.1297801,-0.02663983,0.9911736,0.191605,-0.01031481,0.6584958,0.00902674,0.7524596,1,0,0,0,9.318485,41.73064,0,1,0,0,0,4.199566E-10,-3.28281E-09,-2.280848E-09,1,1,0,0,0,1,1,1,0,0,0,2.366505E-10,-2.460907E-09,-1.82075E-09,1,1,0,0,0,1,2,1,0,0,0,3.856296E-10,-6.430464E-09,-1.256887E-09,1,1,0,0,0,1
399.5986,3.621079,1.192667,1.734073,0.004734825,0.1297801,-0.02663984,0.9911736,0.191605,-0.01018393,0.6587757,0.008918866,0.7522176,1,0,0,0,9.073235,40.63243,0,1,0,0,0,-7.602262E-11,3.006366E-10,-8.00392E-11,1,1,-7.51228E-11,-7.005216E-10,6.909104E-10,1,1,1,0,0,0,1.323957E-10,-3.446253E-09,-1.429519E-09,1,1,0.0007864034,0.0003165659,-0.0009465925,0.9999992,2,1,0,0,0,5.413755E-11,-4.148901E-09,8.436685E-11,1,1,-7.51228E-11,-7.005216E-10,6.909104E-10,1
399.6488,3.621079,1.192667,1.734073,0.004734827,0.1297801,-0.02663984,0.9911736,0.191605,-0.008799144,0.6609517,0.007750931,0.7503369,1,0,0,0,8.828011,39.53426,0,1,0,0,0,0,0,0,1,1,4.963445E-10,2.249815E-08,-5.186374E-09,0.9999999,1,1,0,0,0,0,0,0,1,1,0.005293108,0.01198044,-0.005355327,0.9998998,2,1,0,0,0,2.855493E-10,1.796815E-09,-1.182411E-09,1,1,3.693892E-10,1.614745E-08,-3.256224E-09,0.9999999
399.6976,3.632727,1.195408,1.736746,0.004734828,0.1297801,-0.02663984,0.9911736,0.191605,-0.00628775,0.6662075,0.005617328,0.7457188,1,-0.0008254051,4.410744E-05,0.0002202988,8.020896,36.16837,0,1,0,0,0,6.209674E-11,3.163616E-10,-2.745608E-10,1,1,1.731438E-11,-1.549818E-09,-3.795801E-10,1,1,1,0,0,0,0,0,0,1,1,0.01044555,0.01112027,-0.003202124,0.9998782,2,1,0.01785171,0.004053184,0.005105247,4.458531E-11,-1.243576E-10,-2.188953E-10,1,1,7.901817E-11,6.259016E-10,-3.468501E-10,1
399.7477,3.63406,1.200227,1.747338,0.004734827,0.1297801,-0.02663985,0.9911736,0.191605,-0.004265117,0.672646,0.003877215,0.739942,1,-0.003627777,0.0001939535,0.0009682178,7.765475,35.90947,0,1,0,0,0,-5.013007E-11,3.850707E-09,-1.028986E-10,1,1,-8.308142E-11,2.498612E-09,1.568514E-10,1,1,1,0,0,0,0,0,0,1,1,0.01157731,0.01510301,-0.0005271835,0.9998188,2,1,0.02394277,0.005318563,0.007404034,-7.051867E-11,4.8715E-09,-2.267991E-10,1,1,-1.092115E-10,1.255669E-10,8.37835E-10,1
399.7997,3.648932,1.206956,1.750538,0.004734827,0.1297801,-0.02663985,0.9911736,0.191605,-0.00190894,0.6820451,0.001780355,0.7313055,1,0,0,0,6.219409,29.23384,0,1,0,0,0,1.513818E-11,2.514996E-09,-5.275653E-10,1,1,-1.199653E-11,2.514681E-09,6.710049E-11,1,1,1,0,0,0,0,0,0,1,1,0.008299507,0.02100165,-0.004972891,0.9997324,2,1,0.01179148,0.002013393,-0.000950914,8.501708E-12,1.370034E-09,-1.306948E-10,1,1,4.627562E-12,3.661692E-09,-5.510115E-10,1
399.8492,3.665407,1.209801,1.752291,0.004734829,0.1297802,-0.02663985,0.9911736,0.191605,0.000462993,0.6936219,-0.0004458208,0.7203391,1,-0.001355648,3.85046E-05,0.0003577471,6.99355,34.25609,0,1,0,0,0,2.722978E-12,-6.447737E-10,2.320964E-11,1,1,-1.516556E-11,1.421807E-10,3.631632E-10,1,1,1,0,0,0,0,0,0,1,1,0.01001315,0.01698236,-0.001020569,0.9998051,2,1,0.0178867,0.00329398,0.001097654,8.959772E-14,2.744779E-10,-4.686554E-12,1,1,-2.345557E-11,1.695385E-09,4.352033E-10,1
399.9004,3.663454,1.209559,1.754169,0.004734831,0.1297802,-0.02663987,0.9911736,0.191605,0.00148519,0.7050244,-0.001476486,0.70918,1,-0.0007212162,-0.0007388592,0.0001813173,6.822633,34.92391,0,1,0,0,0,-4.204327E-13,-8.782987E-10,-5.431443E-11,1,1,-4.430849E-13,-5.681283E-10,1.34854E-11,1,1,1,0,0,0,0,0,0,1,1,0.009384572,0.01623382,0.0009807352,0.9998237,2,1,0,0,0,-1.078912E-12,-1.136113E-09,1.676171E-12,1,1,-4.65737E-13,-2.57958E-10,8.128524E-11,1
399.9503,3.662957,1.208485,1.754516,0.004734833,0.1297803,-0.02663988,0.9911736,0.191605,0.001605886,0.7147897,-0.001641373,0.6993358,1,-0.0001204014,-0.0001041889,3.051758E-05,6.769977,34.86588,0,1,0,0,0,0,0,0,1,1,-5.076866E-12,-2.200738E-09,3.886021E-10,1,1,1,0,0,0,0,0,0,1,1,0.008061411,0.006935911,0.0008050699,0.999943,2,1,0,0,0,-5.067247E-13,-7.868236E-11,1.599244E-10,1,1,-5.078196E-12,-2.166196E-09,1.598975E-10,1
