Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
649.0659,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.04200942,0.5925851,0.03097,0.8038153,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.005810809,-0.009985181,0.003169724,0.9999282
649.1154,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.04433058,0.5865291,0.03217673,0.8080737,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.007233182,-0.01423689,0.001011451,0.9998718
649.1658,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.04629791,0.5793434,0.03298786,0.8130987,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.006522818,-0.0133276,-0.001731009,0.9998885
649.2154,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.04763106,0.5701982,0.03314292,0.8194553,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.00526748,-0.01244072,-0.0008490965,0.9999081
649.2657,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.04963503,0.563345,0.03393275,0.8240312,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.002801739,-0.001819139,0.001956006,0.9999924
649.3153,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05119037,0.5572862,0.0344527,0.8280246,1,0,0,0,64.72948,99.3757,0,1,0,0,0,0,0,0,1,1,-0.005505899,-0.009615887,-0.002375583,0.9999357
649.3657,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.0522314,0.5507846,0.03456501,0.832294,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.005340524,-0.006482685,-0.00204724,0.9999625
649.4161,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05293618,0.5484564,0.03482136,0.833775,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.001513791,0.008221339,0.0004477359,0.999965
649.4652,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05280407,0.5496022,0.03483824,0.833028,1,0,0,0,70.12361,107.657,0,1,0,0,0,0,0,0,1,1,0.004780506,0.006733017,-0.0002180329,0.9999659
649.5156,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05191585,0.55257,0.03451576,0.8311316,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.00652218,0.008749255,0.001369735,0.9999395
