4,2,20-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
141.1929,3.858254,1.156547,1.776944,0.005573425,0.06789395,0.008663759,0.9976394,0.2131712,0.1072823,0.6934153,-0.1055731,0.7046418,1,0,0.001722932,0.03498065,2.026305,23.93207,0,1,0,0,0,1.519788E-10,3.593386E-10,-1.472252E-08,1,1,2.151832E-10,1.260343E-09,-3.463128E-08,1,1,1,0,0,0,0,0,0,1,1,-0.0003981451,-0.002144902,-0.007351655,0.9999705,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0.06738323,-0.01877475,0.00342497,1.193324E-10,-9.568688E-11,-1.980543E-08,1,1,2.764567E-11,1.931249E-09,1.923785E-09,1
141.2424,3.895836,1.170508,1.785331,0.005573425,0.06789394,0.008663792,0.9976394,0.2131712,0.1125926,0.6909887,-0.1102805,0.7054756,1,0,0.004092216,0.0002846718,1.622368,22.60733,0,1,0,0,0,1.525268E-11,5.685508E-12,7.218628E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,-0.0001769011,-0.00104033,-0.005455398,0.9999844,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0.02885538,-0.008717198,-0.0004782424,-7.635241E-10,-3.833009E-10,2.754389E-08,1,1,-7.497351E-11,-5.579363E-10,2.396182E-08,1
141.293,3.960728,1.16878,1.786337,0.005573406,0.06789392,0.008664143,0.9976394,0.2131712,0.1185059,0.6885858,-0.1155816,0.7060077,1,0,0.004127383,-0.0001188517,2.326638,21.39527,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,-0.001235505,-0.001633683,-0.0131441,0.9999113,2,1,0,0,0,2.761431E-09,-3.108886E-09,2.829028E-07,0.9999998,1,0,0,0,1,3,1,0.07807226,-0.02447676,0.002978914,3.452051E-10,7.131171E-11,7.090958E-08,0.9999999,1,2.078751E-10,2.63547E-09,1.23087E-08,0.9999999
141.3422,4.043152,1.167765,1.785705,0.005573395,0.06789394,0.008664212,0.9976394,0.2131712,0.1253082,0.6861477,-0.1217554,0.7061691,1,0,0.005962729,-0.000488162,3.753546,19.79214,0,1,0,0,0,-3.280835E-09,-2.260727E-09,6.848963E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.0003656623,-0.0009470661,-0.01351968,0.9999081,2,1,0,0,0,-4.508874E-10,-6.920861E-10,1.375581E-09,1,1,-9.735464E-10,-1.172941E-09,-6.580727E-10,1,3,1,0.07453065,-0.02468462,0.0007212975,-4.510283E-10,-5.519634E-10,1.712009E-09,1,1,-5.476407E-10,-1.414696E-09,-9.403627E-09,1
141.3931,4.133821,1.1648,1.785848,0.005573396,0.06789394,0.008664183,0.9976394,0.2131712,0.131378,0.6846229,-0.127484,0.7055347,1,0,0.005926728,-0.0004469156,5.343594,16.33938,0,1,0,0,0,1.034776E-09,-6.127585E-10,-2.095701E-08,1,1,1.002895E-09,-1.480822E-09,-6.063097E-08,1,1,1,0,0,0,0,0,0,1,1,0.00328393,0.0003009824,-0.007335085,0.9999678,2,1,0,0,0,1.937491E-10,1.330148E-09,-1.343576E-08,1,1,5.758539E-10,-8.490585E-10,-1.878673E-08,1,3,1,0.1084044,-0.03818331,0.003491002,-2.32094E-10,1.730141E-09,1.908649E-09,1,1,9.23543E-10,-3.029562E-10,-3.052004E-08,1
141.4425,4.198631,1.16862,1.784483,0.005573397,0.06789393,0.008664222,0.9976394,0.2131712,0.1365238,0.683518,-0.1324164,0.70472,1,0,0.004853845,0.0007587671,7.645412,14.91336,0,1,0,0,0,9.604161E-10,2.575921E-09,4.114366E-08,0.9999998,1,1.391182E-09,4.899788E-09,-1.127613E-08,1,1,1,0,0,0,0,0,0,1,1,0.001279676,-0.0002228502,-0.007705103,0.9999694,2,1,0,0,0,5.328456E-10,-2.324217E-10,1.344654E-09,1,1,8.844885E-10,3.73469E-09,1.193259E-08,0.9999999,3,1,0.05617877,-0.0210739,-0.003000194,5.444041E-10,7.251483E-10,7.090532E-09,1,1,5.792189E-10,3.161731E-09,1.640082E-09,0.9999999
141.4932,4.250958,1.170626,1.785347,0.005573396,0.06789393,0.008664237,0.9976394,0.2131712,0.1398086,0.6829628,-0.1356303,0.7040027,1,0,0.003804445,-0.0004454851,9.714253,13.72608,0,1,0,0,0,4.342281E-10,-2.648299E-10,-6.90032E-09,1,1,-1.143622E-10,-2.634341E-09,2.867043E-08,1,1,1,0,0,0,0,0,0,1,1,-0.0009266657,5.836124E-05,-0.0008347854,0.9999992,2,1,0,0,0,0,0,0,1,1,1.117433E-10,-3.403303E-09,1.355463E-08,1,3,1,0.03675966,-0.0142014,0.002022386,-1.199643E-10,-5.641985E-10,4.073646E-09,1,1,4.641012E-10,-3.00611E-09,6.736514E-09,1
141.5425,4.284203,1.171056,1.78474,0.005573395,0.06789393,0.008664263,0.9976394,0.2131712,0.1414932,0.6823356,-0.1371426,0.7039814,1,0,0.004119396,0.000402689,11.0327,12.398,0,1,0,0,0,1.210057E-10,1.065861E-09,6.733076E-09,1,1,-1.324781E-09,3.520897E-11,2.622883E-08,1,1,1,0,0,0,0,0,0,1,1,-0.002184999,-0.0002274234,-8.311502E-05,0.9999974,2,1,0,0,0,-2.324382E-10,1.049805E-09,1.238026E-08,1,1,-1.324781E-09,3.520897E-11,2.622883E-08,1,3,1,0.02494301,-0.009961779,-0.002758267,1.210057E-10,1.065861E-09,6.733076E-09,1,1,-1.324781E-09,3.520897E-11,2.622883E-08,1
141.5937,4.304492,1.172173,1.784807,0.005573397,0.06789392,0.008664259,0.9976394,0.2131712,0.1415372,0.6817923,-0.1369689,0.7045325,1,0,0.003698587,0.0003488064,12.3912,11.93563,0,1,0,0,0,-1.71265E-10,6.311833E-10,6.081631E-09,0.9999999,1,1.190646E-09,-4.759428E-10,-3.489916E-08,0.9999999,1,1,0,0,0,0,0,0,1,1,-0.002503489,-0.0005846131,0.001854454,0.9999948,2,1,0,0,0,6.447184E-11,-2.847108E-10,-2.813834E-09,0.9999999,1,1.063604E-09,3.695869E-10,-2.359267E-08,0.9999999,3,1,0.01660477,-0.006695359,-0.00185839,4.988056E-10,-6.336936E-10,-7.410116E-09,0.9999999,1,6.292699E-10,7.185697E-10,-1.899639E-08,0.9999999
141.643,4.320908,1.171534,1.784809,0.005573394,0.06789389,0.008664274,0.9976394,0.2131712,0.1406759,0.6812013,-0.1358315,0.7054963,1,0,0.0005749464,0.0003755093,12.51751,10.90616,0,1,0,0,0,7.590501E-11,-4.056142E-10,1.557649E-09,1,1,-1.223322E-09,7.569724E-10,2.361822E-08,1,1,1,0,0,0,1.796849E-10,-8.619301E-10,-2.310933E-09,1,1,-0.002447375,-0.0003481649,0.002818203,0.9999931,2,1,0,0,0,-9.048362E-11,-4.674253E-10,5.836095E-09,1,1,-1.532358E-09,-1.258853E-10,1.892677E-08,1,3,1,0.01661768,-0.006675579,-0.00181355,-2.81143E-10,-8.297452E-11,9.682716E-09,1,1,-1.563856E-09,-1.321329E-09,1.041067E-08,1
141.6938,4.338324,1.170662,1.784846,0.005573399,0.06789389,0.008664353,0.9976394,0.2131712,0.1395406,0.6809,-0.1345298,0.7062615,1,0,0.0006085634,0.0003393888,12.97826,10.4456,0,1,0,0,0,5.606677E-10,4.649663E-09,3.116251E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,1.022052E-09,4.156963E-09,9.825186E-09,0.9999999,1,0,0,0,1,2,1,0,0,0,8.099657E-10,4.694009E-09,1.986492E-08,0.9999999,1,0,0,0,1,3,1,0.01664786,-0.006610324,-0.001775377,8.099657E-10,4.694009E-09,1.986492E-08,0.9999999,1,0,0,0,1
141.7437,4.345575,1.173705,1.785258,0.005573404,0.06789389,0.008664421,0.9976394,0.2131712,0.138595,0.6807891,-0.1335042,0.7067492,1,0,0.0005488396,0.0001102686,13.40068,10.02324,0,1,0,0,0,-8.437833E-10,-1.524027E-09,-5.582816E-09,1,1,0,0,0,1,1,1,0,0,0,7.357023E-11,-6.474102E-10,3.672072E-08,1,1,0,0,0,1,2,1,0,0,0,6.952362E-11,1.070562E-09,3.790199E-08,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,1
