Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
140.8692,3.722616,0.9937845,1.783589,0.3738385,0.03757675,-0.01226402,0.9266512,0.4025177,0.003443963,0.7042755,-0.003416627,0.7099102,0,0,0,0,17.08521,0,1,0,0,0,7.751474E-12,8.541166E-10,3.923373E-10,1,1,0,0,0,1,1,1,0,0,0,7.751474E-12,8.541166E-10,3.923373E-10,1,1,0,0,0,1,2,1,0,0,0,8.527332E-12,0.000000001,2.604962E-10,1,1,0,0,0,1
140.9185,3.722722,0.9938047,1.783581,0.3738384,0.03757677,-0.01226403,0.9266512,0.4025177,0.003269568,0.7041206,-0.003242193,0.7100654,0,0,0,0,16.5624,0,1,0,0,0,-3.150453E-12,1.068983E-09,1.816547E-09,1,1,0,0,0,1,1,1,0,0,0,-4.938412E-12,4.956341E-10,1.258671E-09,1,1,0,0,0,1,2,1,0,0,0,-3.150453E-12,1.068983E-09,1.816547E-09,1,1,0,0,0,1
140.9684,3.724077,0.9932625,1.775513,0.3738382,0.03757679,-0.01226405,0.9266513,0.4025177,0.003139707,0.7040747,-0.003113013,0.7101122,0,0,0,0,18.00394,0,1,0,0,0,-4.017862E-13,5.080508E-10,0.000000001,1,1,0,0,0,1,1,1,0.002722158,-0.0005808892,-0.01117876,-8.814451E-13,5.120343E-10,1.152755E-09,1,1,0,0,0,1,2,1,0,0,0,-4.017862E-13,5.080508E-10,0.000000001,1,1,0,0,0,1
141.0195,3.732909,0.994492,1.770071,0.3738382,0.03757682,-0.01226407,0.9266513,0.4025177,0.003029226,0.7041502,-0.003004106,0.7100382,0,0,0,0,17.86748,0,1,0,0,0,-4.069261E-12,7.184711E-10,9.389663E-10,1,1,0,0,0,1,1,1,0.0117316,0.001942689,-0.004166502,-4.09825E-12,7.530027E-10,7.297323E-10,1,1,0,0,0,1,2,1,0,0,0,-4.09825E-12,7.530027E-10,7.297323E-10,1,1,0,0,0,1
141.0689,3.750868,0.997264,1.761532,0.3738381,0.03757682,-0.01226409,0.9266513,0.4025177,0.002906651,0.7043228,-0.002883945,0.7098681,0,0,0,0,16.55629,0,1,0,0,0,2.183178E-12,1.098321E-11,-1.749018E-10,1,1,0,0,0,1,1,1,0.02202489,0.00341789,-0.01036773,3.949359E-12,2.666513E-10,-2.68414E-10,1,1,0,0,0,1,2,1,0,0,0,3.618764E-12,2.911887E-11,-1.586706E-10,1,1,0,0,0,1
141.1189,3.790323,1.004186,1.75027,0.3738379,0.03757684,-0.0122641,0.9266514,0.4025177,0.002722069,0.7046217,-0.002703076,0.7095729,0,0,0,0,15.82003,0,1,0,0,0,2.39739E-12,2.29381E-10,2.079836E-12,1,1,0,0,0,1,1,1,0.04783086,0.008518151,-0.01255329,2.39739E-12,2.29381E-10,2.079836E-12,1,1,0,0,0,1,2,1,0,0,0,1.066759E-12,1.062967E-10,-2.240203E-10,1,1,0,0,0,1
141.1683,3.840441,1.013287,1.737651,0.3738378,0.03757686,-0.01226413,0.9266515,0.4025177,0.00244264,0.70505,-0.002428521,0.7091492,1,0,0,0,14.48516,0,1,0,0,0,5.000124E-12,2.077319E-10,-4.153358E-10,1,1,0,0,0,1,1,1,0.05473402,0.01007618,-0.01307719,4.312431E-12,4.097161E-10,3.345092E-11,1,1,0,0,0,1,2,1,0,0,0,3.959655E-12,1.703318E-10,-7.474633E-11,1,1,0,0,0,1
141.2195,3.893102,1.020458,1.728184,0.3738377,0.03757687,-0.01226414,0.9266515,0.4025177,0.002079767,0.7055759,-0.002070809,0.7086283,1,0,-0.002203226,0.002203107,12.75167,0,1,0,0,0,-7.239281E-13,-1.879176E-11,-3.534824E-10,1,1,0,0,0,1,1,1,0.05220414,0.00988383,-0.01139891,-6.236358E-13,-3.890189E-10,-3.87007E-10,1,1,0,0,0,1,2,1,0,0,0,-3.6973E-13,-1.350012E-10,-4.698159E-10,1,1,0,0,0,1
141.2683,3.949555,1.020445,1.728006,0.3738378,0.03757688,-0.01226415,0.9266514,0.4025177,0.001769219,0.7060343,-0.001763875,0.7081732,1,0,-0.002543449,0.00254333,10.60894,0,1,0,0,0,-2.372032E-12,-1.404037E-10,-1.198401E-10,1,1,0,0,0,1,1,1,0.05852602,0.01155012,-0.01054463,-1.860703E-12,-8.480737E-11,-6.307233E-12,1,1,0,0,0,1,2,1,0,0,0,-3.221665E-12,-2.535027E-10,1.099398E-10,1,1,0,0,0,1
141.3196,4.002814,1.022862,1.7322,0.3738377,0.03757688,-0.01226415,0.9266515,0.4025177,0.001507867,0.7063461,-0.001504635,0.7078635,1,0,-0.001659632,0.001659513,9.319475,0,1,0,0,0,3.528087E-13,-1.505838E-10,-0.000000001,1,1,0,0,0,1,1,1,0.05042678,0.01085676,-0.001648311,4.288505E-13,-1.7151E-10,-9.382488E-10,1,1,0,0,0,1,2,1,0,0,0,9.294414E-13,-1.966541E-10,-1.31934E-09,1,1,0,0,0,1
141.3687,4.05209,1.027315,1.736313,0.3738376,0.03757688,-0.01226416,0.9266515,0.4025177,0.001250311,0.7065216,-0.001248248,0.7076893,1,0,-0.001055598,0.001055598,8.517009,0,1,0,0,0,2.758979E-13,7.069281E-11,-4.081271E-10,1,1,0,0,0,1,1,1,0.05661787,0.01236929,-0.001864707,7.53867E-14,1.766191E-10,-2.378704E-10,1,1,0,0,0,1,2,1,0,0,0,2.766914E-13,1.83277E-10,-3.529785E-10,1,1,0,0,0,1
141.4193,4.121828,1.033211,1.740727,0.3738377,0.03757688,-0.01226416,0.9266515,0.4025177,0.000964916,0.7066015,-0.0009635404,0.7076104,1,0,-0.001652598,0.001652598,8.935897,0,1,0,0,0,-3.316669E-13,4.573721E-11,-1.27594E-10,1,1,0,0,0,1,1,1,0.07887164,0.01719839,-0.005498684,-4.364109E-13,-5.572191E-11,-1.021076E-10,1,1,0,0,0,1,2,1,0,0,0,-4.612279E-13,-6.333892E-11,-5.815388E-11,1,1,0,0,0,1
