Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
333.3902,3.287095,1.201077,1.691171,1.362803E-07,1.19558E-06,4.358918E-08,1,0.1827514,-0.02551422,0.6591563,0.02238681,0.7512396,0,0,0,0,49.20393,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.001263259,-0.001265534,0.01791096,9.448203E-10,-1.536269E-08,-4.879199E-09,1,1,0,0,0,1
333.4397,3.28117,1.197349,1.709717,1.33454E-07,1.2115E-06,4.755119E-08,1,0.1830013,-0.02558364,0.6581565,0.02238764,0.7521132,0,0,0,0,47.93469,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.01202613,-0.006463134,0.01677846,-1.373493E-09,6.059755E-09,0.000000002,1,1,0,0,0,1
333.4904,3.268347,1.190788,1.718337,1.314657E-07,1.232672E-06,5.95584E-08,1,0.1830697,-0.02555257,0.6571373,0.0222993,0.7530076,0,0,0,0,49.13857,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.01097991,-0.005387502,0.001846599,-9.464803E-10,1.07071E-08,0.000000006,1,1,0,0,0,1
333.5396,3.26525,1.189233,1.719687,1.323821E-07,1.223513E-06,5.039632E-08,1,0.1830697,-0.0254824,0.6562806,0.02218691,0.75376,0,0,0,0,50.59786,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.04326E-10,-4.240526E-09,-4.254813E-09,1,1,0,0,0,1
333.5901,3.264729,1.188971,1.719913,1.335069E-07,1.179465E-06,7.519673E-08,1,0.1831039,-0.02542011,0.6556041,0.02209247,0.7543534,0,0,0,0,53.84965,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,8.389937E-10,-2.547901E-08,1.332372E-08,1,1,0,0,0,1
333.6396,3.264642,1.188927,1.719952,1.340922E-07,1.180725E-06,5.969651E-08,1,0.1832168,-0.02537054,0.6550773,0.0220182,0.7548147,0,0,0,0,54.92571,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.012931E-10,3.639367E-09,-7.279317E-09,1,1,0,0,0,1
333.6895,3.262573,1.188025,1.717231,1.348339E-07,1.175237E-06,6.732127E-08,1,0.1833295,-0.02532202,0.6546994,0.02195378,0.755146,0,0,0,0,51.92034,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.002469631,-0.001075608,-0.003277803,2.912539E-10,-3.233231E-09,4.251107E-09,0.9999999,1,0,0,0,1
333.7398,3.262378,1.188003,1.714813,1.345548E-07,0.000001195,0.000000051,1,0.1834201,-0.02528002,0.6544381,0.02190196,0.7553754,0,0,0,0,51.99351,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.0002324698,0.0001971,-0.002984478,-2.325015E-10,8.814398E-09,-5.80589E-09,1,1,0,0,0,1
333.7901,3.260714,1.187456,1.706338,1.356727E-07,1.203119E-06,5.406125E-08,1,0.1835891,-0.02523863,0.6543337,0.02185993,0.7554685,0,0,0,0,53.07372,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.001761449,-0.0004851308,-0.0122343,6.206691E-10,3.826425E-09,1.585781E-09,1,1,0,0,0,1
333.8394,3.25917,1.186959,1.698168,1.36302E-07,1.181071E-06,1.910381E-08,1,0.1839271,-0.02520062,0.6543975,0.02183068,0.7554153,0,0,0,0,52.13628,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,-0.002237516,-0.0008811607,-0.006262355,1.104712E-11,-1.890355E-08,-1.782094E-08,1,1,0,0,0,1
