Time;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;IsInCollision;CollisionForce X;CollisionForce Y;CollisionForce Z;Checkpoint0;Checkpoint1;Checkpoint2;Checkpoint3;Checkpoint4;Checkpoint5;Checkpoint6;Checkpoint7;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W
1060,043;3,98156;1,644144;1,33769;-0,005649399;-0,05204895;-0,06759831;0,9963381;0,3482819;0,04618767;0,7813748;-0,05824528;0,619619;0;0;0;0;111,4729;99,47415;68,4626;51,13762;72,68165;59,79736;67,97795;49,59441;0;1;-0,01209698;-0,2036064;0,182444;-1,97023E-09;1,81596E-08;1,30022E-08;1;1;0;0;0;1
1060,092;3,949884;1,397996;1,50707;-0,005649397;-0,05204895;-0,0675983;0,9963381;0,3482819;0,05455928;0,7731388;-0,06713558;0,6283092;0;0;0;0;99,79408;92,89948;67,9025;60,23991;80,51184;64,92743;66,94319;45,27196;0;1;-0,04756415;-0,2936821;0,1701521;-2,54466E-09;-3,85449E-10;-7,33275E-09;1;1;0;0;0;1
1060,143;3,872776;1,107438;1,566375;-0,005649397;-0,05204895;-0,0675983;0,9963381;0,3482819;0,0647248;0,7649844;-0,07784618;0,6360422;0;0;0;0;90,62743;91,69585;73,67944;73,64558;93,30602;74,61903;69,33036;44,31723;0;1;-0,1188402;-0,3852668;0,01769881;3,00789E-09;2,2589E-08;2,16857E-08;1;1;0;0;0;1
1060,192;3,807372;0,9014404;1,565518;-0,005649397;-0,05204894;-0,06759831;0,9963381;0,3482819;0,07715502;0,757783;-0,0911426;0,6414866;0;0;0;0;80,34913;92,47124;83,07982;86,58427;102,9783;81,47707;69,5119;43,19759;0;1;-0,01903639;-0,04993403;-0,01429014;6,86052E-10;1,09009E-08;5,53081E-09;1;1;0;0;0;1
1060,242;3,795008;0,8632217;1,564345;-0,005649396;-0,05204894;-0,06759831;0,9963381;0,3482819;0,08819285;0,7518465;-0,1027573;0,6452827;0;0;0;0;73,92332;93,04971;88,85311;92,85223;106,6519;84,10161;68,44367;41,86789;0;1;0;0;0;1,22102E-10;-7,65567E-09;8,81163E-09;1;1;0;0;0;1
1060,293;3,79293;0,8567982;1,564148;-0,0056494;-0,05204895;-0,06759832;0,9963381;0,3482819;0,09702695;0,7470444;-0,1118442;0,6480751;0;0;0;0;71,84805;92,89726;90,11002;94,01707;107,0341;84,41013;67,86745;41,40425;0;1;0;0;0;-4,32186E-09;-2,25592E-08;-2,001E-08;1;1;0;0;0;1
1060,343;3,792581;0,8557187;1,564115;-0,00564939;-0,05204895;-0,06759834;0,996338;0,3482819;0,1039391;0,7432094;-0,1188129;0,6501692;0;0;0;0;71,71242;93,33797;90,87512;94,7686;107,6532;84,90686;68,07185;41,52059;0;1;0;0;0;8,68269E-09;-1,18028E-08;-2,56387E-08;0,9999999;1;0;0;0;1
1060,392;3,785049;0,8399404;1,564172;-0,005649394;-0,05204894;-0,06759832;0,996338;0,3482819;0,1093781;0,7401635;-0,1242179;0,6517395;0;0;0;0;60,65529;79,06609;77,04446;80,33517;91,21134;71,94063;57,63864;35,15626;0;1;-0,02338388;-0,04876611;0,000368237;-1,59292E-09;-5,28417E-09;1,28008E-08;1;1;0;0;0;1
1060,443;3,615225;0,4637666;1,698002;-0,005649396;-0,05204893;-0,06759831;0,9963381;0,3482819;0,116917;0,7364255;-0,1318196;0,6531703;0;0;0;0;69,36687;92,61515;91,51224;95,63512;107,8295;85,14539;67,68562;41,33655;0;1;-0,2843151;-0,6385703;0,275376;-4,2323E-10;2,89083E-09;1,09713E-08;1;1;0;0;0;1
1060,493;3,335873;-0,156016;2,016289;-0,005649404;-0,05204893;-0,06759832;0,996338;0,3482819;0,1335776;0,7271433;-0,1478542;0,6569313;0;0;0;0;58,96596;97,59342;105,7327;113,6876;123,5587;99,80911;78,32878;55,59291;0;1;-0,2674299;-0,5741183;0,2920681;-4,97988E-09;2,51323E-09;-3,06893E-09;1;1;0;0;0;1
1060,542;3,178266;-0,4659746;2,128542;-0,005649404;-0,05204893;-0,06759832;0,9963381;0,3482819;0,1543856;0,714956;-0,1669475;0,6611592;0;0;0;0;62,23878;120,9591;140,4269;153,4885;162,4188;135,6904;108,9944;89,72574;0;1;-0,1010816;-0,1720167;0,02148997;-5,15358E-10;-7,0233E-09;-7,47236E-09;1;1;0;0;0;1
1060,592;3,11154;-0,5808759;2,139127;-0,005649402;-0,05204892;-0,06759834;0,996338;0,3482819;0,1740347;0,7033786;-0,1843359;0,6640714;0;0;0;0;73,34638;139,4633;163,5737;178,3978;187,2073;159,0409;129,9404;112,6431;0;1;-0,02534919;-0,03599164;-0,01764588;3,0213E-09;6,95897E-09;6,20852E-10;1;1;0;0;0;1
1060,643;3,093985;-0,6090181;2,136286;-0,0056494;-0,05204893;-0,06759832;0,9963381;0,3482819;0,1903045;0,6936433;-0,1982519;0,6658373;0;0;0;0;79,56127;146,6595;171,6866;186,8573;195,2954;166,9111;137,205;121,0761;0;1;3,62494E-05;-2,79255E-05;9,52448E-06;2,34798E-09;-1,95205E-09;2,83447E-08;1;1;0;0;0;1
1060,692;3,091491;-0,6131546;2,13586;-0,005649399;-0,05204894;-0,06759828;0,9963381;0,3482819;0,2031066;0,6857163;-0,2087924;0,6670431;0;0;0;0;80,32621;146,3934;171,108;185,9932;194,1633;166,2094;136,8374;121,3653;0;1;0;0;0;5,02964E-10;-5,20308E-09;5,38684E-08;1;1;0;0;0;1
1060,743;3,091071;-0,6138499;2,135789;-0,0056494;-0,05204895;-0,06759831;0,9963381;0,3482819;0,213063;0,6793557;-0,2167111;0,6679194;0;0;0;0;82,35753;149,6601;174,848;189,9857;198,273;169,791;139,8344;124,1738;0;1;0;0;0;-8,23863E-10;2,78022E-09;-6,91644E-09;1;1;0;0;0;1
1060,792;3,091001;-0,6139667;2,135777;-0,005649402;-0,05204894;-0,06759828;0,9963381;0,3482819;0,22079;0,6742946;-0,2226788;0,6685751;0;0;0;0;63,33582;115,02;134,3637;145,9831;152,3412;130,4675;107,4566;95,44718;0;1;0;0;0;2,94874E-10;-9,99838E-10;2,20937E-08;1;1;0;0;0;1
1060,843;3,089028;-0,6146643;2,15975;-0,005649402;-0,05204895;-0,06759828;0,9963381;0,3482819;0,2268679;0,6700815;-0,2271413;0,6692747;0;0;0;0;82,46519;149,7879;175,022;190,1951;198,4827;170,0007;140,0397;124,4097;0;1;-0,003651006;-0,001332165;0,04483148;5,01175E-10;-3,59476E-10;3,21737E-08;1;1;0;0;0;1
1060,892;3,084811;-0,6168875;2,203566;-0,005649403;-0,05204894;-0,06759831;0,9963381;0,3482819;0,2318857;0,6660067;-0,2303197;0,6705349;0;0;0;0;80,56861;146,8033;172,0347;187,301;195,5419;167,6264;138,2883;122,9982;0;1;-0,006054521;-0,0039943;0,04753898;-6,33256E-11;1,16335E-10;-5,33975E-09;1;1;0;0;0;1
1060,943;3,072863;-0,6254244;2,273927;-0,005649401;-0,05204894;-0,06759831;0,9963381;0,3482819;0,2363126;0,6616569;-0,2324869;0,6725448;0;0;0;0;81,34806;148,9891;175,541;191,6295;200,3421;172,0281;142,3176;126,89;0;1;-0,0144269;-0,009864584;0,09178634;1,57494E-10;7,12966E-10;7,546E-10;1;1;0;0;0;1
1060,992;3,066456;-0,6279184;2,353507;-0,005649401;-0,05204896;-0,06759829;0,9963381;0,3482819;0,2404821;0,6565171;-0,2336582;0,6756905;0;0;0;0;77,58933;143,0795;170,0472;186,3832;195,3105;168,1807;139,7801;125,1618;0;1;-0,000958709;0,002009179;0,06025764;-1,2028E-10;-4,26622E-10;5,19542E-08;0,9999999;1;0;0;0;1
1061,043;3,077837;-0,6151046;2,401316;-0,0056494;-0,05204897;-0,06759826;0,9963381;0,3482819;0,2439627;0,6513717;-0,2339256;0,6793202;0;0;0;0;79,40498;147,5092;176,9185;194,7243;204,567;176,6367;147,4907;132,4967;0;1;0,01680562;0,01705222;0,03256871;5,80175E-10;-3,33286E-09;3,50226E-08;1;1;0;0;0;1
1061,092;3,081883;-0,6109577;2,410834;-0,005649399;-0,05204898;-0,06759829;0,9963381;0,3482819;0,246603;0,6470063;-0,2337466;0,6825925;0;0;0;0;76,94841;143,8929;173,6123;191,6647;201,7352;174,4532;146,073;131,2816;0;1;0;0;0;-2,0084E-09;-7,07757E-09;-2,22737E-08;1;1;0;0;0;1
1061,142;3,082563;-0,6102608;2,412434;-0,005649396;-0,05204898;-0,0675984;0,996338;0,3482819;0,2486278;0,6435449;-0,233511;0,6852058;0;0;0;0;76,51299;143,4653;173,4201;191,7116;201,9292;174,7034;146,4191;131,571;0;1;0;0;0;3,52685E-09;-2,44136E-09;-8,78195E-08;1;1;0;0;0;1
1061,192;3,082678;-0,6101437;2,412703;-0,005649398;-0,05204897;-0,06759837;0,996338;0,3482819;0,250187;0,6408408;-0,2332945;0,6872432;0;0;0;0;76,39339;143,3468;173,361;191,7153;201,9718;174,7608;146,5025;131,6367;0;1;0;0;0;5,83881E-10;-3,28219E-10;2,07552E-08;1;1;0;0;0;1
1061,242;3,082697;-0,610124;2,412748;-0,0056494;-0,05204897;-0,06759822;0,9963381;0,3482819;0,2513898;0,6387385;-0,2331116;0,6888217;0;0;0;0;77,75462;145,9255;176,4985;195,201;205,6526;177,9504;149,1841;134,0439;0;1;0;0;0;-5,48113E-09;6,99482E-09;1,52603E-07;1;1;0;0;0;1
1061,293;3,0827;-0,6101207;2,412755;-0,005649402;-0,05204898;-0,06759827;0,9963381;0,3482819;0,2523183;0,6371067;-0,2329618;0,6900431;0;0;0;0;77,74852;145,9193;176,4953;195,2009;205,6545;177,9529;149,1879;134,0467;0;1;0;0;0;-8,72641E-10;-7,60512E-09;-2,1849E-08;1;1;0;0;0;1
1061,342;3,0827;-0,6101201;2,412757;-0,005649401;-0,05204898;-0,06759832;0,9963381;0,3482819;0,2530353;0,6358411;-0,2328409;0,6909879;0;0;0;0;76,35898;143,3125;173,3429;191,7151;201,9824;174,7756;146,5246;131,6535;0;1;0;0;0;-5,74586E-10;-2,36259E-09;-2,53607E-08;1;1;0;0;0;1
1061,392;3,0827;-0,6101201;2,412757;-0,005649403;-0,05204898;-0,06759837;0,996338;0,3482819;0,2535894;0,6348602;-0,2327445;0,6917189;0;0;0;0;73,58201;138,1008;167,0395;184,7436;194,6377;168,4202;141,1966;126,8662;0;1;0;0;0;-2,38756E-09;2,50242E-10;-3,03969E-08;1;1;0;0;0;1
1061,442;3,0827;-0,6101201;2,412757;-0,005666468;-0,05182871;-0,06753506;0,9963537;0,3482819;0,2540174;0,6341004;-0,2326682;0,6922842;0;0;0;0;76,35857;143,3121;173,3421;191,7141;201,9816;174,7748;146,5238;131,6545;0;1;0;0;0;-5,31797E-06;0,000221788;6,2011E-05;0,9999999;1;0;0;0;1
1061,492;3,0827;-0,6101201;2,412757;-0,005666465;-0,05182873;-0,06753506;0,9963537;0,3482819;0,2543482;0,633512;-0,2326081;0,6927215;0;0;0;0;74,97012;140,7062;170,1894;188,2271;198,3077;171,5955;143,8583;129,2622;0;1;0;0;0;2,29556E-09;-4,96886E-09;2,06884E-08;1;1;0;0;0;1
1061,543;3,0827;-0,6101201;2,412757;-0,005666462;-0,05182872;-0,06753509;0,9963537;0,3482819;0,2546039;0,6330565;-0,232561;0,6930597;0;0;0;0;74,97011;140,7061;170,1892;188,2271;198,3076;171,5954;143,8582;129,2623;0;1;0;0;0;2,62168E-09;1,16506E-09;-4,23874E-08;1;1;0;0;0;1
1061,592;3,0827;-0,6101201;2,412757;-0,005666459;-0,05182872;-0,06753505;0,9963537;0,3482819;0,2548016;0,6327038;-0,2325242;0,6933214;0;0;0;0;68,02843;127,6778;154,431;170,7986;179,9458;155,7068;130,538;117,2936;0;1;0;0;0;1,76987E-09;3,73893E-09;4,95811E-08;1;1;0;0;0;1
1061,642;3,0827;-0,6101201;2,412757;-0,005666456;-0,05182872;-0,06753509;0,9963537;0,3482819;0,2549546;0,632431;-0,2324955;0,6935237;0;0;0;0;76,35844;143,3118;173,3409;191,7127;201,98;174,7729;146,5222;131,6561;0;1;0;0;0;4,63117E-09;6,15158E-09;-1,39269E-08;1;1;0;0;0;1
1061,692;3,0827;-0,6101201;2,412757;-0,005666451;-0,05182872;-0,06753513;0,9963537;0,3482819;0,2550728;0,6322197;-0,2324731;0,6936803;0;0;0;0;77,74678;145,9174;176,4926;195,1984;205,6523;177,9506;149,1863;134,0498;0;1;0;0;0;1,87102E-09;-3,18946E-09;-4,02211E-08;1;1;0;0;0;1
1061,743;3,0827;-0,6101201;2,412757;-0,005666445;-0,0518287;-0,06753506;0,9963537;0,3482819;0,2551642;0,6320564;-0,2324558;0,6938014;0;0;0;0;77,74678;145,9174;176,4926;195,1984;205,6523;177,9506;149,1863;134,0498;0;1;0;0;0;1,5118E-09;1,545E-08;6,31294E-08;1;1;0;0;0;1
1061,792;3,076359;-0,6090155;2,420097;-0,005666451;-0,05182873;-0,06753501;0,9963537;0,3482819;0,2552745;0,6318504;-0,2324281;0,6939577;0;0;0;0;76,34888;143,3033;173,346;191,7272;201,9997;174,7949;146,5467;131,6878;0;1;-0,01627546;0,003190449;0,0132146;-5,42379E-09;3,44996E-09;8,97594E-08;1;1;0;0;0;1
1061,843;3,020257;-0,5960096;2,427328;-0,005666446;-0,05182874;-0,06753498;0,9963537;0,3482819;0,2556574;0,6313749;-0,2325135;0,6942208;0;0;0;0;77,54278;145,7337;176,4863;195,2701;205,7698;178,0874;149,3341;134,4679;0;1;-0,1003039;0,02358906;0,003345362;1,56297E-09;8,69149E-09;7,5848E-08;1;1;0;0;0;1
1061,892;2,871579;-0,5625005;2,428927;-0,005666454;-0,05182879;-0,06753499;0,9963537;0,3482819;0,2569098;0,6304304;-0,2332534;0,6943685;0;0;0;0;75,39317;142,4405;172,7887;191,4304;201,6555;174,5563;146,2378;133,1514;0;1;-0,1773503;0,03888226;0,003215079;-5,30058E-09;7,7639E-10;4,53394E-08;0,9999999;1;0;0;0;1
1061,947;2,705032;-0,526523;2,434528;-0,005666452;-0,05182882;-0,06753503;0,9963537;0,3482819;0,2592968;0,6288199;-0,2348017;0,6944199;0;0;0;0;58,11812;111,0498;134,1058;149,1925;156,5223;135,8218;113,5388;106,0249;0;1;-0,1683778;0,03646307;0,001402704;8,83164E-10;-4,10878E-09;-9,36079E-09;1;1;0;0;0;1
1061,997;2,547556;-0,4911288;2,423818;-0,005666449;-0,05182884;-0,06753495;0,9963537;0,3482819;0,262639;0,6268197;-0,2371564;0,694172;0;0;0;0;57,85208;113,9458;136,8568;152,9191;159,0332;138,7752;115,7428;111,0895;0;1;-0,1365149;0,03142009;-0,01604307;-1,05448E-09;7,72206E-09;9,32125E-08;1;1;0;0;0;1
1062,047;2,441573;-0,4661312;2,40782;-0,005666448;-0,05182888;-0,06753494;0,9963537;0,3482819;0,2663096;0,6249197;-0,2399672;0,6935202;0;0;0;0;70,54226;143,3974;171,3484;191,6633;197,437;173,8627;144,9528;142,0644;0;1;-0,06594209;0,01604368;-0,0138285;-5,92245E-10;-6,13468E-09;4,98386E-08;1;1;0;0;0;1
1062,097;2,421909;-0,4614727;2,404695;-0,005666456;-0,05182891;-0,06753494;0,9963537;0,3482819;0,2695543;0,6233402;-0,2425302;0,6927962;0;0;0;0;72,34625;146,9203;174,7803;195,5261;200,147;177,0385;147,5453;146,705;0;1;0;0;0;-3,21089E-09;2,99307E-11;5,2021E-08;0,9999999;1;0;0;0;1
1062,147;2,418604;-0,4606898;2,40417;-0,005666459;-0,0518289;-0,06753502;0,9963537;0,3482819;0,272154;0,6220855;-0,2445933;0,692182;0;0;0;0;71,36358;144,6565;171,7987;192,1835;196,3558;173,814;144,8811;144,7973;0;1;0;0;0;-2,8683E-09;5,62395E-09;-8,88629E-08;1;1;0;0;0;1
