2,2,6-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
427.3903,2.586877,1.212932,1.579214,5.928351E-08,4.660841E-07,-2.08505E-08,1,0.2656704,0.02408468,0.6562963,-0.02096858,0.7538272,1,0,0,0,69.61594,109.0318,0,1,0.05705263,0.05767555,0.003472951,2.870252E-10,2.588411E-08,2.54898E-09,1,1,0,0,0,1,1,1,0.07263528,0.1351541,-0.006762466,2.870252E-10,2.588411E-08,2.54898E-09,1,1,0,0,0,1
427.4404,2.682105,1.355614,1.583258,5.92774E-08,4.784747E-07,-2.161597E-08,1,0.2656704,0.01584566,0.6567497,-0.01380527,0.7538158,1,0,0,0,62.32024,102.041,0,1,0.02779772,0.02254402,0.003658607,-3.131238E-11,5.158593E-09,1.072688E-09,1,1,0,0,0,1,1,1,0.04663576,0.09520669,0.003044629,2.52011E-11,7.231777E-09,-1.838149E-09,1,1,0,0,0,1
427.4903,2.739416,1.451197,1.594448,5.741029E-08,4.467125E-07,-1.63246E-08,1,0.2656704,0.007684089,0.657083,-0.006698624,0.7537493,1,0,0,0,58.14386,97.66271,0,1,0.0100032,0.006061309,0.003997136,-9.650423E-10,-1.771926E-08,2.442117E-09,1,1,0,0,0,1,1,1,0.02876188,0.06543503,0.009125737,-9.020862E-10,-1.404308E-08,2.849253E-09,1,1,0,0,0,1
427.5401,2.76375,1.501379,1.602594,5.709053E-08,4.418949E-07,-1.159212E-08,1,0.2656704,0.0003917003,0.657217,-0.0003415572,0.7537013,1,0,0,0,53.73292,91.22729,0,1,0,0,0,-1.662122E-10,-2.781811E-09,2.410516E-09,1,1,0,0,0,1,1,1,0.01323928,0.03292176,0.006066464,-1.535432E-10,-2.035931E-09,2.321967E-09,1,1,0,0,0,1
427.5901,2.773042,1.523411,1.606451,5.720984E-08,4.235764E-07,-1.161617E-08,1,0.2656704,-0.005687388,0.6572272,0.004959707,0.7536547,1,0,0,0,56.57323,96.28853,0,1,0,0,0,1.013994E-10,-6.356284E-09,-1.206526E-10,1,1,0,0,0,1,1,1,0.004144148,0.01107959,0.002017093,1.790825E-11,-1.196225E-08,9.660313E-11,1,1,0,0,0,1
427.6406,2.772995,1.532256,1.621469,5.614358E-08,4.585453E-07,-6.944142E-09,1,0.2656704,-0.01059309,0.6570607,0.009234764,0.7537066,1,0,0,0,58.70259,99.9187,0,1,0,0,0,-4.564077E-10,8.536728E-09,1.584618E-09,1,1,0,0,0,1,1,1,-0.003845325,0.004008358,0.0211136,-6.098653E-10,2.643218E-08,3.087412E-09,1,1,0,0,0,1
427.6909,2.761811,1.516774,1.640993,5.6435E-08,4.796595E-07,-8.296069E-09,1,0.2656704,-0.0143124,0.6565955,0.0124634,0.7540041,1,0,0,0,58.69629,99.89865,0,1,0,0,0,1.457082E-10,1.055714E-08,-6.759603E-10,1,1,0,0,0,1,1,1,-0.01633645,-0.02712324,0.02134109,1.457082E-10,1.055714E-08,-6.759603E-10,1,1,0,0,0,1
427.7406,2.739787,1.477577,1.666328,5.696846E-08,4.992431E-07,-1.710655E-08,1,0.2656704,-0.01670399,0.6557943,0.01451651,0.7546152,1,0,0,0,57.67475,98.21131,0,1,0,0,0,3.452672E-10,1.224847E-08,-5.115594E-09,1,1,0,0,0,1,1,1,-0.0255443,-0.04737218,0.02652118,1.88197E-10,7.334971E-09,-3.694878E-09,1,1,0,0,0,1
427.7907,2.716318,1.430292,1.685145,5.734748E-08,4.681432E-07,-1.575342E-08,1,0.2656704,-0.01784257,0.6547517,0.01546372,0.7554752,1,0,0,0,59.18315,100.8335,0,1,0,0,0,2.608546E-10,-1.529088E-08,2.88023E-10,1,1,0,0,0,1,1,1,-0.02312158,-0.04929378,0.01458765,1.18157E-10,-1.580906E-08,1.065107E-09,1,1,0,0,0,1
427.8407,2.696427,1.387732,1.697268,5.878033E-08,4.893308E-07,-1.473131E-08,1,0.2656704,-0.01797259,0.6536639,0.01553126,0.7564121,1,0,0,0,58.44952,99.54764,0,1,0,0,0,7.412361E-10,9.815174E-09,7.375378E-10,1,1,0,0,0,1,1,1,-0.01766406,-0.03761638,0.01086111,6.915963E-10,1.137222E-08,2.845901E-10,1,1,0,0,0,1
