2,1,Time5-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
289.7955,2.619438,1.327268,1.730407,0.004310575,-0.01782732,-0.007559792,0.9998032,0.1538355,-0.03463684,0.6297104,0.02812358,0.7755477,0,0,0,0,78.23057,0,1,-0.006267645,-0.02295915,-0.003096898,1.278716E-09,8.046234E-09,-4.828651E-09,1,1,0,0,0,1,1,1,-0.02072058,0.0008062826,-0.00331741,9.952168E-10,7.306779E-09,-7.328454E-09,1,1,0,0,0,1
289.8457,2.60933,1.306427,1.722529,0.004310574,-0.01782728,-0.007559802,0.9998032,0.1538355,-0.03348468,0.6299139,0.02719973,0.775466,0,0,0,0,80.79793,0,1,-0.00380906,-0.02244473,-0.01177743,6.405905E-10,1.52387E-08,-4.425785E-09,1,1,0,0,0,1,1,1,0,0,0,7.721601E-10,1.461585E-08,-4.922838E-09,1,1,0,0,0,1
289.8957,2.603394,1.281437,1.712188,0.004310575,-0.01782724,-0.007559812,0.9998032,0.1538355,-0.03219101,0.6302321,0.02616777,0.7752977,0,0,0,0,84.74711,0,1,-0.006198693,-0.02834759,-0.009695457,1.366362E-09,2.194595E-08,-3.481583E-09,1,1,0,0,0,1,1,1,0,0,0,9.640146E-10,2.010884E-08,-6.108237E-09,1,1,0,0,0,1
289.9456,2.598563,1.256026,1.699893,0.004310575,-0.01782725,-0.007559819,0.9998032,0.1538355,-0.03073763,0.6306638,0.02501163,0.7750438,0,0,0,0,86.83448,0,1,-0.003871107,-0.02508514,-0.01512181,1.556666E-09,-1.004358E-08,-4.279823E-09,1,1,0,0,0,1,1,1,0,0,0,1.506137E-09,-1.204354E-08,-3.720783E-09,1,1,0,0,0,1
289.9952,2.595902,1.232852,1.681945,0.004310577,-0.01782723,-0.007559807,0.9998032,0.1538355,-0.02917589,0.6312853,0.0237767,0.7746369,0,0,0,0,87.07278,0,1,-0.001633627,-0.01912692,-0.01724688,1.329999E-09,7.828778E-09,6.217116E-09,1,1,0,0,0,1,1,1,0,0,0,1.927738E-09,4.877871E-09,5.493343E-09,1,1,0,0,0,1
290.0456,2.592492,1.210369,1.667626,0.004310576,-0.01782726,-0.007559826,0.9998032,0.1538355,-0.02755153,0.632062,0.02249612,0.7741011,0,0,0,0,87.21507,0,1,-0.004007417,-0.02236724,-0.01185679,4.080241E-10,-7.976006E-09,-7.603184E-09,1,1,0,0,0,1,1,1,0,0,0,7.892195E-10,-7.945811E-09,-1.141576E-08,1,1,0,0,0,1
290.095,2.589577,1.192276,1.656671,0.004310579,-0.01782726,-0.007559847,0.9998032,0.1538355,-0.0259655,0.6328483,0.02124265,0.7735487,0,0,0,0,85.64076,0,1,-0.002441185,-0.0166382,-0.01105489,9.352409E-10,5.621839E-09,-1.183827E-08,1,1,0,0,0,1,1,1,0,0,0,7.258448E-10,-7.891361E-10,-9.243616E-09,1,1,0,0,0,1
290.1452,2.58595,1.175916,1.650738,0.004310579,-0.01782726,-0.007559864,0.9998032,0.1538355,-0.02444944,0.6335984,0.02003986,0.773016,0,0,0,0,87.43719,0,1,-0.004791981,-0.01719135,-0.002343688,3.572737E-10,-5.968493E-09,-8.886376E-09,1,1,0,0,0,1,1,1,0,0,0,3.328305E-10,7.235572E-10,-1.020923E-08,1,1,0,0,0,1
290.1956,2.581318,1.158898,1.647759,0.004310575,-0.01782722,-0.007559864,0.9998032,0.1538355,-0.02297487,0.6342344,0.01886103,0.7725692,0,0,0,0,87.61525,0,1,-0.004046713,-0.01430371,-0.002006948,-6.60195E-10,1.074075E-08,-1.475682E-09,1,1,0,0,0,1,1,1,0,0,0,-8.395243E-10,9.173796E-09,-1.222901E-09,1,1,0,0,0,1
290.2455,2.591082,1.151737,1.647968,0.004310575,-0.01782726,-0.007559865,0.9998032,0.1538355,-0.02163277,0.6347598,0.01778241,0.772202,0,0,0,0,84.35976,0,1,-0.0008066768,-0.002860919,-0.000405482,1.0819E-09,-2.113039E-08,-2.680725E-09,1,1,0,0,0,1,1,1,0.01786268,0.0007626548,0.002083485,1.0819E-09,-2.113039E-08,-2.680725E-09,1,1,0,0,0,1
