6,3,Ching and Liu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1330.131,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.182,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.232,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.282,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.332,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.384,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.431,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.482,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.532,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
1330.583,0.977,-0.187,-1.75,-0.0001503705,-3.504344E-05,8.234785E-06,1,1,0.1635914,0.08044786,-0.01338611,0.9831515,0,0,0,0,3.331396,2.064779,0.9000623,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,1
