5,3,Ching and Liu-CHIChallenge
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
818.0856,0.977,-0.187,-1.75,8.162252E-07,-2.346394E-08,-2.908854E-08,1,1,0.1635914,0.08044766,-0.01338608,0.9831515,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-2.799197E-08,-6.231149E-09,5.827611E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,5.475837E-08,-2.0145E-08,-7.376745E-09,1,1,0,0,0,1,3,1,0,0,0,4.717969E-08,-3.130032E-08,-7.588939E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.1354,0.977,-0.187,-1.75,8.817216E-07,-1.020286E-07,-6.72722E-08,1,1,0.1635914,0.08044773,-0.01338609,0.9831515,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,5.307594E-08,-2.119415E-08,-2.052865E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,4.197376E-08,1.480769E-09,-9.579277E-10,1,1,0,0,0,1,3,1,0,0,0,1.317937E-08,-2.573016E-08,-1.576196E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.1882,0.977,-0.187,-1.75,7.848694E-07,-1.705681E-07,-6.50445E-08,1,1,0.1635914,0.08044779,-0.0133861,0.9831515,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-7.099178E-09,-5.133714E-09,6.319352E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-6.122433E-08,-2.609527E-08,1.274179E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.2366,0.977,-0.187,-1.75,3.969932E-07,-1.375034E-07,-3.596877E-09,1,1,0.1635914,0.08044782,-0.01338611,0.9831515,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-7.951921E-08,6.909907E-09,9.73008E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-1.557374E-07,1.866401E-08,3.243222E-08,1,1,0,0,0,1,3,1,0,0,0,-9.93653E-08,1.336496E-08,1.465679E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.2895,0.977,-0.187,-1.75,2.060469E-08,-2.289981E-07,1.825886E-08,1,1,0.1635914,0.08044785,-0.01338611,0.9831515,0,0,0,0,3.331396,2.74838,0.9258119,0,1,0,0,0,-6.065422E-08,-8.27746E-09,5.542069E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-2.317129E-07,-7.226979E-08,1.498035E-08,1,1,0,0,0,1,3,1,0,0,0,-1.002258E-07,-3.611379E-08,-7.725441E-10,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.3358,0.9779608,-0.1859628,-1.748627,-9.356712E-08,-2.427369E-07,3.917128E-08,1,1,0.1635758,0.08045617,-0.01338619,0.9831534,0,0,0,0,3.331142,2.74838,0.9258119,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1.253509E-08,3.213329E-08,9.640735E-09,1,1,0,0,0,1,3,1,0,0,0,-7.477963E-08,-3.084981E-08,4.410072E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.385,0.9847403,-0.1786342,-1.738931,-3.032802E-07,-2.422324E-07,6.890332E-08,1,1,0.1634112,0.08054347,-0.01338696,0.9831736,0,0,0,0,3.328384,2.74838,0.9258119,0,1,0,0,0,-1.067675E-07,1.024902E-09,1.671728E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-7.24076E-08,3.426393E-09,1.079754E-08,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.4371,1.053252,-0.1310449,-1.682841,-4.751063E-07,-3.470484E-07,6.499783E-08,1,1,0.1624349,0.0813558,-0.0134399,0.9832678,0,0,0,0,3.316398,2.74838,0.9258119,0,1,0,0,0,-3.373146E-08,-6.244935E-08,-1.174764E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-5.238037E-08,9.182011E-09,3.205176E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.4862,1.163934,-0.05419755,-1.593632,-4.738592E-07,-4.486342E-07,4.840372E-08,1,1,0.159445,0.08407203,-0.0136294,0.9835261,0,0,0,0,3.279014,2.74838,0.9258119,0,1,0,0,0,-1.676071E-08,-7.341814E-09,1.171069E-09,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-6.417646E-09,-8.136238E-08,-1.152456E-08,1,1,0,0,0,1,3,1,0,0,0,4.118601E-08,-5.539757E-09,-7.411636E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
818.5362,1.231459,-0.004843505,-1.53668,-4.87726E-07,-3.896822E-07,8.936466E-08,1,1,0.1552887,0.08783167,-0.01386303,0.9838592,0,0,0,0,3.247076,2.74838,0.9258119,0,1,0,0,0,-1.613389E-08,3.878124E-08,1.56377E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,-2.509428E-08,8.665555E-09,1.687778E-08,1,1,0,0,0,1,3,1,0,0,0,3.821038E-08,1.096461E-08,3.025544E-09,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1
