2,2,Time1-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
655.0325,1.126391,1.382992,1.522914,1.602213E-07,3.875511E-07,7.554881E-08,1,0.6976189,-0.02229904,0.6406816,0.01862034,0.7672569,0,0,0,0,144.5671,183.1655,0,1,0.1098479,0.02320269,0.006325602,-1.181383E-10,-1.002999E-08,5.256914E-10,1,1,0,0,0,1,1,1,0,0,0,-3.510604E-10,-1.950669E-08,1.726385E-09,1,1,0,0,0,1
655.0824,1.227802,1.404826,1.531917,1.631247E-07,3.805399E-07,7.02866E-08,1,0.6976189,-0.02304989,0.6415305,0.01929164,0.7665085,0,0,0,0,139.9234,178.4615,0,1,0.09414518,0.02040744,0.008977062,1.628079E-09,-5.363731E-09,-3.092556E-09,1,1,0,0,0,1,1,1,0,0,0,1.275277E-09,-1.647567E-09,-2.169669E-09,1,1,0,0,0,1
655.1318,1.325086,1.425497,1.535288,1.640151E-07,3.977217E-07,6.417115E-08,1,0.6929909,-0.02385391,0.6423666,0.02001,0.7657649,0,0,0,0,132.6291,170.2701,0,1,0.1018675,0.02157547,0.001656587,2.366968E-10,5.531822E-09,-3.693767E-09,1,1,0,0,0,1,1,1,0,0,0,6.537014E-10,1.164983E-08,-2.421721E-09,1,0.993366,0,0,0,1
655.1822,1.438086,1.448774,1.529365,1.639613E-07,3.800699E-07,6.857505E-08,1,0.6661745,-0.0247139,0.6433458,0.02078664,0.7648943,0,0,0,0,125.1163,161.8616,0,1,0.1167374,0.02371226,-0.01010382,-1.595164E-10,-6.2962E-09,2.99166E-09,1,1,0,0,0,1,1,1,0,0,0,1.056941E-10,-1.135576E-08,1.412208E-09,1,0.9613033,0,0,0,1
655.2321,1.533911,1.467959,1.517923,1.640528E-07,4.130145E-07,6.415799E-08,1,0.6464215,-0.0255898,0.6445388,0.02159308,0.7638382,0,0,0,0,122.7276,160.2363,0,1,0.09392241,0.01845236,-0.01530066,1.036891E-10,1.601175E-08,-2.800911E-09,1,1,0,0,0,1,1,1,0,0,0,-1.223081E-11,1.693275E-08,-1.616175E-09,1,0.9703486,0,0,0,1
655.2827,1.622124,1.484905,1.499361,1.628111E-07,4.017215E-07,8.675472E-08,1,0.6362054,-0.02642679,0.6459653,0.02238555,0.7625807,0,0,0,0,112.8419,148.5978,0,1,0.08607428,0.01637027,-0.02013227,-5.747418E-10,-6.273113E-09,1.18005E-08,1,1,0,0,0,1,1,1,0,0,0,-6.669389E-10,-5.019965E-09,1.079623E-08,1,0.984196,0,0,0,1
655.3323,1.711086,1.502166,1.480736,1.639727E-07,3.783397E-07,7.328352E-08,1,0.6189941,-0.02722459,0.6475741,0.02316183,0.7611637,0,0,0,0,114.1254,151.4377,0,1,0.09241099,0.01781697,-0.02182246,1.617429E-10,-1.060774E-08,-6.2151E-09,1,1,0,0,0,1,1,1,0,0,0,9.997774E-10,-1.277398E-08,-7.256113E-09,1,0.972947,0,0,0,1
655.3818,1.800918,1.519589,1.458264,1.640946E-07,3.692748E-07,8.00265E-08,1,0.6130421,-0.02799491,0.6493827,0.02393383,0.7595695,0,0,0,0,110.1885,147.373,0,1,0.07669967,0.01501614,-0.01927567,-1.067254E-10,-1.21524E-09,3.83846E-09,1,1,0,0,0,1,1,1,0,0,0,2.286405E-10,-7.849714E-09,2.904506E-09,1,0.9903843,0,0,0,1
655.4322,1.856264,1.53039,1.442726,1.648329E-07,3.444157E-07,6.349961E-08,1,0.6050659,-0.02870032,0.6512337,0.02465997,0.7579334,0,0,0,0,109.1049,146.9636,0,1,0.04183513,0.008268882,-0.01197999,2.84255E-10,-1.314322E-08,-8.82725E-09,1,1,0,0,0,1,1,1,0,0,0,4.539008E-10,-1.171594E-08,-7.699651E-09,1,0.9869893,0,0,0,1
655.4827,1.893653,1.537992,1.433352,1.655465E-07,3.676545E-07,3.119172E-08,1,0.603184,-0.0293174,0.6529377,0.02530659,0.7564209,0,0,0,0,106.5985,144.3335,0,1,0.03470897,0.007272295,-0.007512902,3.939409E-10,1.42102E-08,-1.64651E-08,1,1,0,0,0,1,1,1,0,0,0,3.196297E-10,9.028497E-09,-1.584282E-08,1,0.9968898,0,0,0,1
