1,7,Lindo-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1693.379,-73.50128,-57.92787,-226.471,-0.6174331,0.007100955,-0.07514184,0.782994,0.1560363,0.3697317,-0.1169035,0.04695296,0.9205583,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.647056,1.96773,2.104067,0,1,0,0,0,-3.490666E-10,2.31197E-08,1.514353E-08,1,1,0,0,0,1
1693.429,-73.50126,-57.92732,-226.4645,-0.6174331,0.007100959,-0.07514182,0.782994,0.1560363,0.38243,-0.1131086,0.04723221,0.9158182,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.64261,1.96773,2.104067,0,1,0,0,0,-1.050706E-07,1.304077E-08,1.65343E-08,1,1,0,0,0,1
1693.479,-73.50126,-57.92723,-226.4634,-0.6174331,0.007100981,-0.07514184,0.782994,0.1560363,0.3920996,-0.1100694,0.04731803,0.9120876,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.641095,1.96773,2.104067,0,1,0,0,0,-9.120951E-09,-1.959597E-10,-2.810956E-08,0.9999999,1,0,0,0,1
1693.529,-73.50126,-57.92722,-226.4633,-0.6174333,0.007100972,-0.07514185,0.7829939,0.1560363,0.3994921,-0.1076664,0.04730934,0.9091622,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.640712,1.96773,2.104067,0,1,0,0,0,-1.971333E-09,-1.949162E-08,-1.175043E-08,1,1,0,0,0,1
1693.579,-73.50182,-57.92751,-226.4423,-0.6174332,0.007100977,-0.07514183,0.7829939,0.1560363,0.4050906,-0.1057469,0.04723404,0.9069114,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.640634,1.96773,2.104067,0,1,-0.001867641,-0.0009877806,0.06987298,-2.273742E-08,1.37215E-09,-7.964012E-10,1,1,0,0,0,1
1693.629,-73.53207,-57.92629,-226.33,-0.6174332,0.007100975,-0.07514184,0.7829939,0.1560363,0.4080698,-0.1042062,0.04694735,0.9057682,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.622482,1.96773,2.104067,0,1,-0.04648348,0.002865023,0.1158303,-1.31306E-08,7.115442E-10,-3.86159E-11,1,1,0,0,0,1
1693.679,-73.6063,-57.92028,-226.1733,-0.6174333,0.007100951,-0.07514187,0.7829939,0.1560363,0.4079049,-0.1039236,0.04679516,0.9058829,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.593851,1.96773,2.104067,0,1,-0.09909427,0.009102533,0.1843572,-1.357231E-08,-1.718232E-08,6.221943E-09,1,1,0,0,0,1
1693.729,-73.65746,-57.91497,-226.0791,-0.6174334,0.007100969,-0.07514191,0.7829937,0.1560363,0.4055179,-0.104915,0.0469159,0.9068335,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.575332,1.96773,2.104067,0,1,-0.02437874,0.002992499,0.04195611,-8.927124E-08,-2.15439E-09,-2.146349E-08,0.9999999,1,0,0,0,1
1693.779,-73.70863,-57.90813,-225.9921,-0.6174335,0.007100975,-0.07514196,0.7829937,0.1560363,0.4021858,-0.1065921,0.04720795,0.9081058,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.570642,1.96773,2.104067,0,1,-0.05453846,0.007822944,0.09335758,1.431501E-08,-6.262924E-09,-1.652129E-08,1,1,0,0,0,1
1693.829,-73.75388,-57.90087,-225.8999,-0.6174337,0.00710099,-0.07514201,0.7829936,0.1560363,0.3980024,-0.1087207,0.04756758,0.9096764,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.572405,1.96773,2.104067,0,1,-0.04191155,0.007257094,0.09723895,-9.909382E-08,-2.697614E-08,-2.207546E-08,1,1,0,0,0,1
