3,7,As Panteras-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
2097.883,-74.41382,-57.79928,-227.7419,-0.4153776,-0.1816248,0.8162804,0.3579947,0.9298277,-0.2161005,0.094042,0.02091641,0.9716065,0,0,0,0,0.1484508,2.756583,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.002240455,0.0141533,0.001638238,-4.837053E-08,1.470277E-08,4.822684E-10,1,1,0,0,0,1,1,1,0,0,0,-1.274345E-08,5.300607E-09,-7.781788E-09,1,1,0,0,0,1,2,1,0,0,0,-1.376486E-08,5.264623E-09,-7.471496E-09,1,1,0,0,0,1
2097.933,-74.41192,-57.78972,-227.7411,-0.4153777,-0.1816251,0.8162803,0.3579948,0.9298277,-0.216042,0.09936474,0.02210665,0.9710633,0,0,0,0,0.1484508,2.75448,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.001609018,0.008935919,0.0008929214,9.568275E-09,-1.458351E-08,-5.421572E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,2.281892E-08,-1.889221E-08,-4.31663E-09,0.9999999,1,0,0,0,1,2,1,0,0,0,1.874891E-09,-8.919065E-09,-9.648376E-09,0.9999999,1,0,0,0,1
2097.982,-74.39017,-57.77648,-227.7566,-0.4153778,-0.181625,0.8162805,0.3579943,0.9298277,-0.2162121,0.1037355,0.02310956,0.9705448,0,0,0,0,0.1484508,2.753515,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.04731465,0.0182078,-0.03394464,1.112292E-08,-3.281712E-08,1.692636E-08,1,1,0,0,0,1,1,1,0,0,0,1.651943E-08,-2.116046E-08,1.555025E-08,1,1,0,0,0,1,2,1,-0.005625808,0.001696638,0.001363023,3.653212E-09,-2.168867E-08,2.06929E-08,1,1,0,0,0,1
2098.032,-74.34541,-57.75542,-227.7827,-0.4153776,-0.1816249,0.816281,0.3579935,0.9298277,-0.2168296,0.1081389,0.02417539,0.9699003,0,0,0,0,0.1484508,2.758294,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.06124588,0.01020286,-0.04811168,3.402912E-08,-1.563105E-08,3.807984E-09,1,1,0,0,0,1,1,1,0,0,0,5.196505E-08,-1.249512E-08,7.003452E-10,1,1,0,0,0,1,2,1,-0.006966746,0.01263895,0.02260876,4.503779E-08,-9.970905E-09,-3.152304E-09,1,1,0,0,0,1
2098.083,-74.28862,-57.74574,-227.8149,-0.4153782,-0.1816246,0.8162809,0.3579929,0.9298277,-0.217738,0.1130031,0.02538933,0.9691108,0,0,0,0,0.1484508,2.76451,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.04268077,-0.000458059,-0.03612414,-7.349438E-08,2.883497E-08,1.12548E-09,1,1,0,0,0,1,1,1,0,0,0,-7.410086E-08,2.535236E-08,5.554967E-09,1,1,0,0,0,1,2,1,0.01088749,-9.30861E-05,0.003961379,-5.266883E-08,1.994754E-08,5.403476E-10,1,1,0,0,0,1
2098.132,-74.21658,-57.73695,-227.8155,-0.415378,-0.1816244,0.8162813,0.3579922,0.9298277,-0.2185342,0.1183633,0.02671445,0.9682558,0,0,0,0,0.1484508,2.766195,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.02968497,-0.002718629,-0.02627692,2.121444E-09,1.67351E-08,-1.048385E-08,1,1,0,0,0,1,1,1,0,0,0,1.053755E-09,2.892406E-08,-1.39175E-08,1,1,0,0,0,1,2,1,0.06519569,0.01888899,0.05928526,6.351802E-10,2.755889E-08,-1.493821E-08,1,1,0,0,0,1
2098.184,-74.09673,-57.70519,-227.7342,-0.4153777,-0.1816246,0.8162818,0.3579913,0.9298277,-0.2188693,0.1244499,0.02815686,0.9673756,0,0,0,0,0.1484508,2.726844,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.008353738,-0.0007708948,-0.007541957,4.003586E-08,-1.877773E-08,5.54191E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,6.101004E-08,-3.258416E-08,2.226645E-09,0.9999998,1,0,0,0,1,2,1,0.1576846,0.055718,0.1590827,4.03729E-08,-1.705201E-08,-3.505179E-09,0.9999999,1,0,0,0,1
2098.232,-73.88645,-57.6057,-227.4759,-0.415378,-0.1816246,0.8162823,0.3579901,0.9298277,-0.2182572,0.1321975,0.02985515,0.9664348,0,0,0,0,0.1484508,2.564846,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0.0001433673,-0.01066193,-0.002732515,3.126271E-09,3.433952E-09,2.063856E-09,1,1,0,0,0,1,1,1,0,0,0,-2.081476E-08,3.136278E-08,-4.684241E-09,1,1,0,0,0,1,2,1,0.2286823,0.1487406,0.3489659,-6.702647E-09,-5.334218E-09,9.854155E-09,1,1,0,0,0,1
2098.283,-73.79364,-57.52962,-227.2913,-0.415378,-0.1816246,0.8162835,0.3579876,0.9298277,-0.2170312,0.1400152,0.0314716,0.9655583,0,0,0,0,0.1484508,2.328281,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,-0.008350421,-0.006486857,0.006251768,-5.621397E-09,4.220067E-08,-2.829895E-08,1,1,0,0,0,1,1,1,0,0,0,-4.58062E-09,4.054439E-08,-2.219939E-08,1,1,0,0,0,1,2,1,-0.0004648479,0.02701628,0.04926974,6.900174E-11,4.827211E-08,-2.902746E-08,1,1,0,0,0,1
2098.333,-73.78411,-57.51688,-227.2514,-0.4153788,-0.181624,0.8162834,0.3579867,0.9298277,-0.2158712,0.1459326,0.03264851,0.9649028,0,0,0,0,0.1484508,2.224254,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,-0.001516134,0.0001526988,0.001494496,-4.04033E-08,2.84287E-08,-3.527226E-09,1,1,0,0,0,1,1,1,0,0,0,-2.884839E-08,2.067272E-08,-1.55487E-09,1,1,0,0,0,1,2,1,0,0,0,-4.968462E-08,3.596773E-08,-2.298211E-09,1,1,0,0,0,1
2098.384,-73.78262,-57.51473,-227.2446,-0.415379,-0.1816247,0.8162833,0.3579867,0.9298277,-0.2149294,0.1503625,0.0335102,0.9644032,0,0,0,0,0.1484508,2.195153,6.171091,5.973095,1.555836,1.56549,1.80029,0,1,0,0,0,-1.093007E-08,-2.737505E-08,-5.359483E-10,1,1,0,0,0,1,1,1,0,0,0,3.01248E-10,-2.286126E-08,-1.153609E-08,1,1,0,0,0,1,2,1,0,0,0,3.34033E-09,-1.203061E-08,-2.141223E-08,1,1,0,0,0,1
