1,7,Quarto Solitario-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
8204.101,-73.75736,-57.04485,-225.7621,0.06657534,0.07674638,-0.9943206,0.03168995,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6142039,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.151,-73.75736,-57.04485,-225.7621,0.06456638,0.06887329,-0.9948984,0.03556391,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6093042,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.2,-73.75736,-57.04485,-225.7621,0.0610907,0.05506093,-0.9958485,0.03901327,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6042131,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.251,-73.75736,-57.04485,-225.7621,0.06359166,0.04940673,-0.9959314,0.04044311,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6018309,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.301,-73.75736,-57.04485,-225.7621,0.06844803,0.04516534,-0.9956609,0.04398228,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6021268,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.351,-73.75736,-57.04485,-225.7621,0.07443787,0.04537889,-0.9950781,0.04711099,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.605516,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.4,-73.75736,-57.04485,-225.7621,0.07443789,0.04537539,-0.9950787,0.04709946,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060426,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.45,-73.75736,-57.04485,-225.7621,0.07443785,0.04537154,-0.9950797,0.04708283,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060798,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.501,-73.75736,-57.04485,-225.7621,0.07443783,0.04536761,-0.9950805,0.047071,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060778,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
8204.552,-73.75736,-57.04485,-225.7621,0.0744378,0.04536416,-0.9950812,0.0470578,0.7687141,0.2793717,0.3843832,-0.1232604,0.8712106,0,0,0,0,0.1486226,0.6060736,6.538988,5.781477,1.592337,0.4355028,1.699657,0,0,0,0,0,0,0,0,1,1,0,0,0,1
